Order Number,Item,Frequency
3129,缓缓 地,20
3130,不 得,20
3131,是 什么 东西,20
3132,罗恩 对,20
3133,头发 的,20
3134,每 当,20
3135,奇洛 教授,20
3136,疼 得,20
3137,模糊 的,20
3138,他 根本,20
3139,能 给,20
3140,并 不 是,20
3141,的 黑 魔法,20
3142,能 去,20
3143,没 看见,20
3144,我 一 个,20
3145,比 平常,20
3146,在 桌,20
3147,一 个 非常,20
3148,他 正,20
3149,以为 自己,20
3150,扑扇 着,20
3151,地下 金库,20
3152,气喘吁吁 地 说,20
3153,一 节,20
3154,出 话,20
3155,让 你们,20
3156,身边 的,20
3157,抱 着 一,20
3158,的 东西 都,20
3159,了 几 步,20
3160,有 你,20
3161,说 她,20
3162,脑袋 上,20
3163,但 你,20
3164,办公室 的,20
3165,我 倒,20
3166,博恩斯 女士,20
3167,哼 了 一 声,20
3168,谁 在,20
3169,我 怎么,20
3170,了 这么,20
3171,然后 是,20
3172,我 母亲,20
3173,去 想,20
3174,去 看看,20
3175,你 的 名字,20
3176,现在 已经,20
3177,一 种 很,20
3178,他们 走进,20
3179,挂 着 一,20
3180,个 东西,20
3181,但 它,20
3182,听说 了,20
3183,拼命 想,20
3184,地 告诉,20
3185,你 真,20
3186,口袋 里 掏出,20
3187,费力 地,20
3188,睡觉 了,20
3189,你 知道 吗,20
3190,转过 头,20
3191,里 的 东西,20
3192,挂 在,20
3193,指 的,20
3194,摄魂怪 的,20
3195,两 人 都,20
3196,像 你,20
3197,叫 我,20
3198,出 什么,20
3199,四 柱,20
3200,可 就,20
3201,没有 别的,20
3202,想 我,20
3203,这 是 我,20
3204,就 因为,20
3205,的 守护神,20
3206,当然 是,20
3207,擦 着,20
3208,地 喊道,20
3209,最近 的,20
3210,他 父亲,20
3211,我 想 我,20
3212,哈利 一直,20
3213,他 转身,20
3214,闭上 眼睛,20
3215,一 大 块,20
3216,教授 在,20
3217,就 对,20
3218,出 话 来,20
3219,他们 才,20
3220,他们 一起,20
3221,膝盖 上,20
3222,我 用,20
3223,还 记得,20
3224,什么 了,20
3225,还 说,20
3226,了不起 的,20
3227,告诉 她,20
3228,他 呢,20
3229,说 些,20
3230,他 身 后,20
3231,但是 哈利,20
3232,吃 晚饭,20
3233,得 浑身,20
3234,激动 地 说,20
3235,然后 她,20
3236,在 箱子,20
3237,宾斯 教授,20
3238,个 朋友,20
3239,那 份,20
3240,听 了 这 话,20
3241,是 伏地魔,20
3242,地 叫,20
3243,上 哪儿,20
3244,的 姑娘,20
3245,家 里,20
3246,听 他,20
3247,的 嘴唇,20
3248,过 她,20
3249,带来 了,20
3250,就 到,20
3251,金妮 的,20
3252,猫头鹰 棚屋,20
3253,哼 了 一,20
3254,小 眼睛,20
3255,呼呼 地,20
3256,是 没有,20
3257,的 第二,20
3258,得 紧紧 的,20
3259,然后 就,20
3260,的 魔药,20
3261,巧克力 蛙,20
3262,晚 了,20
3263,在 图书馆,20
3264,哼 了,20
3265,看到 一,19
3266,黑 魔王,19
3267,什么 吗,19
3268,开 着,19
3269,那 辆,19
3270,更 像,19
3271,了 你 的,19
3272,着 一 把,19
3273,真 不 敢,19
3274,他 看 着,19
3275,的 黑色,19
3276,的 一 种,19
3277,五 个,19
3278,更 厉害 了,19
3279,坐 在 一,19
3280,坐下 吧,19
3281,看上去 像,19
3282,对 他们 说,19
3283,皮皮 鬼,19
3284,我 吧,19
3285,我 告诉 过,19
3286,哈利 一边,19
3287,想 干,19
3288,邓布利多 在,19
3289,抚摸 着,19
3290,哈利 从 没 见,19
3291,布斯巴顿 的,19
3292,了 片刻,19
3293,来到 一,19
3294,跟 她,19
3295,也 不 是,19
3296,第二 次,19
3297,哈利 喘 着,19
3298,等 你,19
3299,那 对,19
3300,我 的 主人,19
3301,我 走,19
3302,伸出 一 只,19
3303,难道 你,19
3304,了 他们 的,19
3305,罗恩 没有,19
3306,跳 了 起来,19
3307,这 使 他,19
3308,很 容易,19
3309,在 最,19
3310,你 愿意,19
3311,因为 她,19
3312,进来 了,19
3313,你 是 不 是,19
3314,在 墙 上,19
3315,全景 望远镜,19
3316,似乎 对,19
3317,没 来 得 及,19
3318,要 再,19
3319,大声 说道,19
3320,好 朋友,19
3321,深深 吸 了,19
3322,着 几,19
3323,和 达力,19
3324,的 椅子 上,19
3325,做 一,19
3326,而且 他,19
3327,要 不 要,19
3328,哈利 这,19
3329,你们 大家,19
3330,我 从来,19
3331,快 看,19
3332,睡 得,19
3333,了 耸肩膀,19
3334,男孩 的,19
3335,这时 他,19
3336,听见 一,19
3337,坐 了 起来,19
3338,了 魔法 的,19
3339,突然 说,19
3340,点 着,19
3341,想 给,19
3342,丢 了,19
3343,没 来 得,19
3344,三 步,19
3345,把 事情,19
3346,脸 上 的,19
3347,跟 我 来,19
3348,把 火,19
3349,去 参加,19
3350,拿到 了,19
3351,对 罗恩 说,19
3352,赫敏 从,19
3353,的 说话声,19
3354,敞开 的,19
3355,使 我,19
3356,条 蛇,19
3357,他们 为什么,19
3358,我们 走,19
3359,腿 上,19
3360,所在 的,19
3361,没有 丝毫,19
3362,几 位,19
3363,双 眼睛,19
3364,扫帚 把,19
3365,东西 了,19
3366,上 哪儿 去,19
3367,越来越 近,19
3368,兴高采烈 地,19
3369,来 不 及 了,19
3370,密室 的,19
3371,所以 他,19
3372,把 手 伸进,19
3373,从 床,19
3374,走 过来,19
3375,也 想,19
3376,停 了,19
3377,凳子 上,19
3378,再 过,19
3379,他 和 赫敏,19
3380,最 小,19
3381,的 故事,19
3382,上 有 一,19
3383,抽出 一,19
3384,只 胳膊,19
3385,在 桌 上,19
3386,邓布 利多 教授,19
3387,他们 从,19
3388,他们 头顶,19
3389,一 根 魔杖,19
3390,而 不 是,19
3391,个 学校,19
3392,都 告诉,19
3393,先生 在,19
3394,推开 了,19
3395,这 场,19
3396,被 打开,19
3397,的 气味,19
3398,笼子 里,19
3399,滑稽 滑稽,19
3400,一直 想,19
3401,他 旁边,19
3402,低头 看 着,19
3403,上 露出,19
3404,是 麻瓜,19
3405,的 大 眼睛,19
3406,了 门,19
3407,攻击 事件,19
3408,的 皮肤,19
3409,于是 他,19
3410,卧室 里,19
3411,的 窗口,19
3412,海格 是,19
3413,一 秒钟,19
3414,他 并,19
3415,的 都,19
3416,右边 的,19
3417,事 的,19
3418,望 了望,19
3419,韦斯 莱,19
3420,教授 是,19
3421,条 大,19
3422,我 才,19
3423,他 希望,19
3424,教授 和,19
3425,用 一 种,19
3426,没有 这么,19
3427,那 副,19
3428,学生 都,19
3429,透 着,19
3430,会 这样,19
3431,干 了,19
3432,罗恩 一,19
3433,他 应该,19
3434,比 刚才,19
3435,它 了,19
3436,的 脑子,19
3437,在 邓布 利多,19
3438,起来 的,19
3439,扭头 看,19
3440,直 起,19
3441,并不 是,19
3442,换 了,19
3443,在 邓布,19
3444,的 每 一 个,19
3445,必须 把,19
3446,他 这么,19
3447,一 口 冷气,19
3448,里 又,19
3449,响 的,19
3450,喊 了,19
3451,早 就 知道,19
3452,了 我们,19
3453,没有 一 个 人,19
3454,就 没,19
3455,他 慢慢,19
3456,冲 着,19
3457,一 个个,19
3458,了 不,19
3459,屏住 呼吸,19
3460,的 情况 下,19
3461,的 仆人,19
3462,你 说 过,19
3463,人 知道,19
3464,随时 都 会,19
3465,悬 在,19
3466,几乎 没有,19
3467,在 魔法 学校,19
3468,在 魔法 学校 的,19
3469,可 是 哈利,19
3470,在 罗恩,19
3471,在 找,19
3472,的 猫,19
3473,哈利 想起,19
3474,会 的,19
3475,的 地板 上,19
3476,认出 了,19
3477,所有 的 人 都,19
3478,深深 吸,19
3479,你 一定,19
3480,会 为,19
3481,突然 出现,19
3482,是 那个,19
3483,感到 一,19
3484,的 麻烦,19
3485,的 许多,19
3486,个 穿,19
3487,的 袜子,19
3488,感到 非常,19
3489,和 佩妮,19
3490,桃金娘 的,19
3491,看 了 一 眼,19
3492,替 他,18
3493,紧 了,18
3494,不 出 话,18
3495,看见 罗恩,18
3496,十二 个,18
3497,看见 的,18
3498,看见 过,18
3499,地 看见,18
3500,三 把,18
3501,喊 一,18
3502,和 海格,18
3503,做 了 一,18
3504,一 盏,18
3505,似乎 很,18
3506,要 离开,18
3507,地 问道,18
3508,着 马尔福,18
3509,帮 他,18
3510,我们 知道,18
3511,骑士 公共 汽车,18
3512,看 着 罗恩,18
3513,着 天花板,18
3514,着 小 天狼星,18
3515,的 学生们,18
3516,看 着 她,18
3517,不 出来,18
3518,斗篷 的,18
3519,对 你 说,18
3520,有 的,18
3521,卡多根 爵士,18
3522,课 老师,18
3523,咯咯 地 笑,18
3524,在 它,18
3525,觉得 很,18
3526,哈利 一 眼,18
3527,的 天,18
3528,的 袍子,18
3529,已经 被,18
3530,绝 不 会,18
3531,给 他 的,18
3532,印 着,18
3533,里面 是,18
3534,对 哈利 和,18
3535,却 不,18
3536,特里劳尼 教授 的,18
3537,礼堂 的,18
3538,他 的 手,18
3539,了 回来,18
3540,那 个 声音,18
3541,的 女,18
3542,的 态度,18
3543,他 的 胳膊,18
3544,和 小,18
3545,大概 会,18
3546,哈利 喘 着 气,18
3547,等 我,18
3548,哈利 在 魔法,18
3549,根本 没,18
3550,我 看到,18
3551,天 都,18
3552,你 可,18
3553,地 站 在,18
3554,赫敏 小声 说,18
3555,你 告诉,18
3556,去 霍格莫德,18
3557,他 死,18
3558,给 你 的,18
3559,把 这个,18
3560,他 真的,18
3561,怒气冲冲 地,18
3562,了 手,18
3563,罗恩 和 赫敏 的,18
3564,的 眼睛 里,18
3565,他 一 眼,18
3566,最 高,18
3567,的 日记,18
3568,他 站在,18
3569,长 着 一,18
3570,气呼呼 地 说,18
3571,对面 的,18
3572,倒 了,18
3573,脚 下,18
3574,脸 上 露出,18
3575,的 字,18
3576,哈利 气愤,18
3577,和 赫敏 说,18
3578,莱 一 家,18
3579,哈利 立刻,18
3580,行 吗,18
3581,了 清嗓子,18
3582,他 离开,18
3583,被 关,18
3584,书 里,18
3585,不同 的,18
3586,那里 的,18
3587,总 有,18
3588,姨父 和,18
3589,气冲冲 地,18
3590,人 会,18
3591,跳 起来,18
3592,一 幅,18
3593,要 对,18
3594,我 被,18
3595,不管 怎么 说,18
3596,你 有没有,18
3597,哈利 猜想,18
3598,灰色 的,18
3599,没 事儿,18
3600,能 相信,18
3601,悲哀 地,18
3602,他们 正,18
3603,下来 了,18
3604,的 三,18
3605,说 不 出 话 来,18
3606,说 不 出 话,18
3607,说 他们,18
3608,把 哈利 的,18
3609,懒洋洋 地,18
3610,弗农 姨父 和,18
3611,一 只 大,18
3612,你 父母,18
3613,两 只 手,18
3614,的 盥洗室,18
3615,我 最,18
3616,赫敏 一起,18
3617,叹 了 口 气,18
3618,我 的 天,18
3619,从 椅子,18
3620,的 队员,18
3621,一 刻,18
3622,我们 家,18
3623,的 石头,18
3624,逃走 了,18
3625,四 柱 床,18
3626,扑扇 着 翅膀,18
3627,塞德里克 说,18
3628,扶手椅 上,18
3629,男生 学生会,18
3630,把 你们,18
3631,的 生命,18
3632,你 看见,18
3633,至少 有,18
3634,要 被,18
3635,把 罗恩,18
3636,了 那些,18
3637,一 架,18
3638,转 过,18
3639,手 捂,18
3640,莱 一,18
3641,莉莉 和,18
3642,不过 你,18
3643,叫 他,18
3644,不 能 把,18
3645,蓝 眼睛,18
3646,戴 着 一,18
3647,摆 着,18
3648,令 他,18
3649,喊 一 声,18
3650,哈利 在 魔法 学校,18
3651,教工 休息室,18
3652,他 喊道,18
3653,的 几 个,18
3654,将 于,18
3655,布斯 巴顿,18
3656,过 了 一会儿,18
3657,没有 办法,18
3658,揉 着,18
3659,吓人 的,18
3660,摆脱 了,18
3661,在 门厅 里,18
3662,听见 她,18
3663,他们 离开,18
3664,不 如,18
3665,哈利 从 没 见 过,18
3666,在 门口,18
3667,的 夜空,18
3668,一 大 口,18
3669,不 该,18
3670,里 也,18
3671,狐 猸子,18
3672,先生 说 着,18
3673,不 出 话 来,18
3674,那 片,18
3675,像 在,18
3676,就 好,18
3677,有 着,18
3678,的 光轮,18
3679,叹 了 口,18
3680,吃惊 的,18
3681,在 人群,18
3682,邓布利多 平静,18
3683,邓布利多 平静 地,18
3684,马尔福 在,18
3685,一 颗,18
3686,那 只 猫,18
3687,柱 床,18
3688,韦斯 莱 一 家,18
3689,学院 杯,18
3690,的 火,18
3691,说 些 什么,18
3692,那 次,18
3693,看 不 出,18
3694,递给 了,18
3695,再 去,18
3696,究竟 是,18
3697,旁边 的 一,18
3698,得 他,18
3699,你 一 个,18
3700,哈利 的 胳膊,18
3701,小 姑娘,18
3702,走去 时,18
3703,就 是 他,18
3704,的 比赛,18
3705,开口 说话,18
3706,里 出来,18
3707,快 了,18
3708,的 双 手,18
3709,快 地,18
3710,骑士 公共,18
3711,正 从,18
3712,休息室 的,18
3713,到 他 的,18
3714,会 变成,18
3715,也 没 说,18
3716,飞 得,18
3717,的 翅膀,18
3718,到 这,18
3719,几 只,18
3720,洛哈特 说,18
3721,哈利 脸上,18
3722,这 是 什么 意思,18
3723,完 了,18
3724,了 一半,18
3725,难看 的,18
3726,是 巫师,18
3727,的 恐惧,18
3728,吸 了 口,18
3729,是 把,18
3730,男生 学生会 主席,18
3731,的 那 条,18
3732,会 喜欢,18
3733,不管 怎么,18
3734,海德薇 的 笼子,18
3735,盘子 里,18
3736,哭 了,18
3737,的 地下,18
3738,钻 了,18
3739,的 空气,18
3740,害怕 的,18
3741,地 关上,18
3742,这 是 不,18
3743,的 街道,18
3744,哈利 在 魔法 学校 的,18
3745,使 他 的,18
3746,韦斯 莱 一,18
3747,明亮 的,18
3748,去 哪儿,18
3749,他 还 是,18
3750,几 英寸,18
3751,地 嘟哝,18
3752,他们 刚,18
3753,次 他,18
3754,只 能 看见,18
3755,看见 它,18
3756,看 过,17
3757,看到 他们,17
3758,看看 他,17
3759,一 部分,17
3760,真 不 敢 相信,17
3761,地 看到,17
3762,地 穿过,17
3763,和 斯内普,17
3764,和 那,17
3765,你 听,17
3766,但 不,17
3767,着 把,17
3768,刚才 在,17
3769,有 办法,17
3770,了 一 步,17
3771,通过 了,17
3772,但 如果,17
3773,已经 死,17
3774,跟 你 说,17
3775,着 脑袋,17
3776,但 我们,17
3777,个 食死徒,17
3778,塞进 了,17
3779,起 身子,17
3780,也 跟,17
3781,的 天 哪,17
3782,谁 会,17
3783,知道 他 是,17
3784,更 糟糕,17
3785,的 巧克力,17
3786,是 一 阵,17
3787,扫视 着,17
3788,祝 你 好运,17
3789,礼堂 里 的,17
3790,神奇 的,17
3791,我 说话,17
3792,了 回去,17
3793,厌恶 地,17
3794,人人 都,17
3795,一 沉,17
3796,多 队 的,17
3797,转 了 个,17
3798,了 多,17
3799,松 了 口 气,17
3800,一下 吧,17
3801,擦 了,17
3802,笑 了 笑,17
3803,大声 喊道,17
3804,见 过 的 最,17
3805,第二 个 项目,17
3806,其他 人 都,17
3807,不 是 你,17
3808,简单 的,17
3809,说 实话,17
3810,一 瓶,17
3811,桌子 底下,17
3812,红 了,17
3813,细细 的,17
3814,纳威 说,17
3815,哈利 拼命,17
3816,帮助 他,17
3817,了 很 大,17
3818,我 一直 在,17
3819,在 拼命,17
3820,你 好运,17
3821,千万 不,17
3822,罗恩 突然,17
3823,在 斯内普,17
3824,他 穿,17
3825,的 教父,17
3826,人 都 在,17
3827,哈利 抬头,17
3828,的 一 位,17
3829,似乎 也,17
3830,强迫 自己,17
3831,你 是 个,17
3832,那边 的,17
3833,胳膊 上,17
3834,退 了,17
3835,产生 了 一,17
3836,走 了 出去,17
3837,的 一切 都,17
3838,那 上面,17
3839,兴奋 地 说,17
3840,没 听见,17
3841,脸 埋,17
3842,好 的 朋友,17
3843,好 长 时间,17
3844,的 景象,17
3845,没有 听见,17
3846,好像 有 人,17
3847,哈利 气愤 地,17
3848,不 能 说,17
3849,你 肯定,17
3850,手 捂住,17
3851,毛茸茸 的,17
3852,我们 最,17
3853,他 走到,17
3854,哈利 被,17
3855,似乎 没有,17
3856,着 双,17
3857,地下 教室 里,17
3858,这 声音,17
3859,有 事,17
3860,的 注意,17
3861,裹 着,17
3862,面对 着,17
3863,要 向,17
3864,的 胡子,17
3865,海格 说 着,17
3866,在 为,17
3867,他 上,17
3868,你 是 说,17
3869,高兴 得,17
3870,扫帚 的,17
3871,了 笑,17
3872,着 嘴,17
3873,能 做到,17
3874,认为 我,17
3875,快 的,17
3876,我们 能,17
3877,了 敲,17
3878,身后 传来,17
3879,灿烂 的,17
3880,坏 了,17
3881,您 的,17
3882,车 上,17
3883,阿不思•邓布 利多,17
3884,想 办法,17
3885,想 告诉,17
3886,从 不,17
3887,能 肯定,17
3888,有 那么,17
3889,匆匆 地,17
3890,三 把 扫帚,17
3891,没有 想到,17
3892,千万 别,17
3893,他 听到,17
3894,半 小时,17
3895,很 低,17
3896,从 里面,17
3897,喝 了 一,17
3898,她 没有,17
3899,我 的 天 哪,17
3900,两 眼,17
3901,的 颜色,17
3902,跟 他 说话,17
3903,那些 摄魂怪,17
3904,我们 不 能,17
3905,嘴 笑,17
3906,所 知,17
3907,将 在,17
3908,才 是,17
3909,小 克劳奇,17
3910,找 他,17
3911,他 低声,17
3912,他 几乎,17
3913,做 过,17
3914,在 寻找,17
3915,小时 后,17
3916,一 枚,17
3917,抽 了,17
3918,没有 多少,17
3919,的 一样,17
3920,的 绳子,17
3921,只 知道,17
3922,其中 一 个,17
3923,一 屁股 坐,17
3924,前 一 天,17
3925,可 你,17
3926,推 着,17
3927,他 大声,17
3928,不 看,17
3929,吼 一,17
3930,可能 的,17
3931,想 做,17
3932,闷闷不乐 地,17
3933,喘 着 粗气,17
3934,好 让,17
3935,跟 罗恩,17
3936,各自 的,17
3937,旁边 一,17
3938,没 等 他,17
3939,往后 退,17
3940,一 段 时间,17
3941,地 对 哈利,17
3942,是 什么 呢,17
3943,个 家养,17
3944,吸 了 一 口 气,17
3945,见 一,17
3946,几 秒钟,17
3947,问 哈利,17
3948,的 金色,17
3949,攥 着,17
3950,波特 夫妇,17
3951,摇晃 着,17
3952,摔 下来,17
3953,的 声音 说道,17
3954,他 头,17
3955,可是 哈利,17
3956,个 巨大,17
3957,个 巨大 的,17
3958,和 她,17
3959,人 要,17
3960,最 小 的,17
3961,迟疑 了,17
3962,追 着,17
3963,的 食物,17
3964,他 身后,17
3965,就 又,17
3966,的 女生,17
3967,救 了,17
3968,已经 死 了,17
3969,会 相信,17
3970,在 小,17
3971,之类 的,17
3972,上面 有,17
3973,还 有 什么,17
3974,松 了 口,17
3975,敲 了 敲,17
3976,格兰芬 多 队 的,17
3977,那 扇 门,17
3978,对 此,17
3979,不 会 把,17
3980,那 玩意儿,17
3981,还是 不,17
3982,那个 人,17
3983,人 从,17
3984,再 把,17
3985,主人 的,17
3986,还 需要,17
3987,会 对,17
3988,这 两 个,17
3989,中 最,17
3990,海格 在,17
3991,的 床 上,17
3992,深 的,17
3993,费尔奇 的,17
3994,清 了 清嗓子,17
3995,哪 一,17
3996,哪 个,17
3997,个 晚上,17
3998,在 伏地魔,17
3999,的 疼痛,17
4000,很 高,17
4001,的 另 一 边,17
4002,以前 的,17
4003,阴影 里,17
4004,的 门开,17
4005,四 年级,17
4006,会 感到,17
4007,强大 的,17
4008,是 从 哪儿,17
4009,门 打开,17
4010,不 会 让,17
4011,怪 我,17
4012,了 一 大 堆,17
4013,问题 是,17
4014,待 着,17
4015,几 次,17
4016,就 觉得,17
4017,的 血,17
4018,几乎 是,17
4019,他们 走来,17
4020,需要 一,17
4021,他们 身后,17
4022,在 干 什么,17
4023,吸 了 口 气,17
4024,他们 看到,17
4025,地 一,17
4026,吼 一 声,17
4027,一 躬,17
4028,五 年级,17
4029,鞠 了,17
4030,说 下去,17
4031,在 厨房,17
4032,人 能,17
4033,想 过,17
4034,你 别,17
4035,的 墙,17
4036,魔杖 里,17
4037,上 那,17
4038,屁股 坐,17
4039,会 发生,17
4040,和 佩妮 姨妈,17
4041,地 回答,17
4042,紧张 地 说,17
4043,了 上来,17
4044,地 打,17
4045,的 绿色,17
4046,的 心脏,17
4047,黄色 的,17
4048,会 觉得,17
4049,看 他们,17
4050,一 转身,17
4051,里德尔 说,17
4052,看上去 很,16
4053,十 分钟 后,16
4054,七 个,16
4055,传来 一 声,16
4056,地 盯 着 哈利,16
4057,很 远,16
4058,宿舍 里,16
4059,爆炸 了,16
4060,远 了,16
4061,真的 很,16
4062,伸手 去,16
4063,和 赫敏 在,16
4064,有 一 张,16
4065,地下 教室 的,16
4066,地图 上,16
4067,他 猛地,16
4068,穿 的,16
4069,了 几 个,16
4070,着 斑斑,16
4071,有 十,16
4072,也 不 想,16
4073,着 箱子,16
4074,但 在,16
4075,有 机会,16
4076,他 的 伤疤,16
4077,我 做,16
4078,哈利 心想,16
4079,里 说,16
4080,不 成,16
4081,巴克比克 的,16
4082,对 吧,16
4083,知道 该,16
4084,邓布利多 和,16
4085,肮脏 的,16
4086,神秘 人 的,16
4087,禁止 滥用,16
4088,的 一 块,16
4089,多 人,16
4090,一 个 麻瓜,16
4091,脸 埋 在,16
4092,的 谈话,16
4093,兴奋 的,16
4094,原原本本 地,16
4095,震耳欲聋 的,16
4096,了 多少,16
4097,松开 了,16
4098,端详 着,16
4099,震 得,16
4100,那 又,16
4101,了 好,16
4102,有 那,16
4103,你 从,16
4104,那 声音,16
4105,让 它们,16
4106,对 海格,16
4107,第三 个 项目,16
4108,对 的,16
4109,算术 占卜,16
4110,了 它 的,16
4111,精彩 的,16
4112,银白色 的,16
4113,糊涂 了,16
4114,你 吗,16
4115,级长 的,16
4116,班 上,16
4117,你 在 说,16
4118,你 大概,16
4119,了 很 长,16
4120,你 妈妈,16
4121,躺 着,16
4122,眯 着,16
4123,他 一 个 人,16
4124,很 想,16
4125,平台 上,16
4126,伸缩 耳,16
4127,现在 我,16
4128,羊皮纸 上,16
4129,你 怎么 知道,16
4130,我们 大家,16
4131,不 让 他,16
4132,而 哈利,16
4133,了 伏地魔,16
4134,把 小,16
4135,不 是 这样,16
4136,这样 一 个,16
4137,的 机会,16
4138,那么 大 的,16
4139,比 他们,16
4140,胸 前,16
4141,的 妹妹,16
4142,内心 的,16
4143,他 不 可能,16
4144,不 容易,16
4145,你 的 父母,16
4146,哈利 盯 着,16
4147,对方 的,16
4148,一 身,16
4149,都 怪,16
4150,没有 动,16
4151,没有 发现,16
4152,哈利 看 了,16
4153,英尺 的,16
4154,没有 时间,16
4155,人 恶心,16
4156,如果 你 不,16
4157,想 干 什么,16
4158,四 楼,16
4159,的 校长,16
4160,着 去,16
4161,总 是,16
4162,有 些,16
4163,打断 了 他,16
4164,打量 着 哈利,16
4165,水 里,16
4166,的 灵魂,16
4167,恐怖 的,16
4168,里 只,16
4169,别 让,16
4170,漫不经心 地,16
4171,念 了 一,16
4172,它 没有,16
4173,怎么 也,16
4174,能 有,16
4175,点 什么,16
4176,实在 太,16
4177,一 卷,16
4178,想 说,16
4179,从 你,16
4180,他 脑海,16
4181,说 句,16
4182,从 口袋 里 掏出,16
4183,熄灭 了,16
4184,十七 岁,16
4185,个 加隆,16
4186,我 一起,16
4187,的 场地 上,16
4188,我 不 明白,16
4189,两 个 星期,16
4190,里 的 每,16
4191,卢平 教授 说,16
4192,拍 着,16
4193,着 窗,16
4194,着 窗 外,16
4195,这 是 哈利,16
4196,坚决 地,16
4197,出 了 什么 事,16
4198,她 问,16
4199,我 记得,16
4200,参加 比赛,16
4201,我们 俩,16
4202,粗声粗气 地 说,16
4203,顶层 包厢,16
4204,出身 的,16
4205,又 想,16
4206,不 能 在,16
4207,任何 东西,16
4208,了 那么 多,16
4209,不 会 是,16
4210,又 说 了,16
4211,手 紧紧,16
4212,才 发现,16
4213,小 了,16
4214,打败 了,16
4215,扔 了,16
4216,扭动 着,16
4217,睁开 眼睛,16
4218,但 没有,16
4219,变形 课,16
4220,把 椅子 上,16
4221,门 关上,16
4222,床头柜 上,16
4223,墙 上 的,16
4224,只 小,16
4225,身边 走过,16
4226,佩妮 姨妈 和,16
4227,一 张 桌子,16
4228,了 句,16
4229,担心 的,16
4230,他 告诉,16
4231,草药 课,16
4232,了 一 大 口,16
4233,上 摔,16
4234,英尺 高,16
4235,尖尖 的,16
4236,叫 你,16
4237,该 怎么办,16
4238,朝 城堡,16
4239,他 就 会,16
4240,挺 好,16
4241,往下 一,16
4242,叫 他们,16
4243,朝 她,16
4244,施 了 魔法 的,16
4245,夫人 和,16
4246,接着 是,16
4247,这 似乎,16
4248,可 我,16
4249,是 两,16
4250,提 着,16
4251,上 说,16
4252,二 年级,16
4253,这 所,16
4254,除非 你,16
4255,他 无法,16
4256,很 响 的,16
4257,这么 想,16
4258,乱 逛,16
4259,他 显得,16
4260,他 为什么 要,16
4261,是 那样,16
4262,是 马尔福,16
4263,小惠 金区,16
4264,他们 能,16
4265,他们 很,16
4266,的 帮助,16
4267,很 快 地,16
4268,他 对 哈利,16
4269,在 两,16
4270,冷冷 地 说,16
4271,什么 也 看,16
4272,兜帽 的,16
4273,最 好 的 朋友,16
4274,返回 城堡,16
4275,位 老师,16
4276,送给 他 的,16
4277,的 学院,16
4278,发 了,16
4279,魔杖 指 着,16
4280,在 那个,16
4281,就 好像 有,16
4282,也 都,16
4283,教授 用,16
4284,邓布利多 平静 地 说,16
4285,布莱克 说,16
4286,了 礼堂,16
4287,东西 的,16
4288,没有 理睬,16
4289,任何 时候,16
4290,哈利 小声 说,16
4291,整整 一 个,16
4292,魔杖 指,16
4293,的 力量,16
4294,就 意味,16
4295,死 的,16
4296,就 意味 着,16
4297,哈利 的 心,16
4298,地 小声 说,16
4299,都 想,16
4300,会 出现,16
4301,告诉 哈利,16
4302,时间 了,16
4303,说 了 句,16
4304,哈利 身上,16
4305,目不转睛 地,16
4306,是 一 场,16
4307,快 走 吧,16
4308,向 哈利,16
4309,里 闪 着,16
4310,向 我,16
4311,不断 地,16
4312,现在 这样,16
4313,火车 上,16
4314,他们 似乎,16
4315,的 第一 个,16
4316,大 脚板,16
4317,哈利 盯,16
4318,的 阳光,16
4319,也 是 一,16
4320,就 给,16
4321,在 三,16
4322,上 哪儿 去 了,16
4323,是 一 位,16
4324,会 把 他,16
4325,优秀 的,16
4326,恶作剧 的,16
4327,名字 投进,16
4328,悄悄 地,16
4329,他们 肯定,16
4330,哈利 紧张,16
4331,的 预言,16
4332,在 半空,16
4333,他 抬头,16
4334,意识 到 自己,16
4335,很 喜欢,16
4336,的 食死徒,16
4337,听见 的,16
4338,的 尖叫声,16
4339,的 希望,16
4340,会 去,16
4341,一 本 书,16
4342,的 房门,16
4343,在 房间 里,16
4344,了 一 躬,16
4345,等 了,16
4346,的 火 弩箭,16
4347,剩下 的,16
4348,第一 节,16
4349,不 可能 是,16
4350,的 痕迹,16
4351,尽量 不,16
4352,的 隐形,16
4353,仿佛 是,16
4354,是 真 的,16
4355,告诉 我 的,16
4356,这么 做 了,16
4357,不 是 他,16
4358,的 壁炉,16
4359,的 黑 眼睛,16
4360,的 还,16
4361,呼哧 呼哧,16
4362,刚 一,16
4363,会 有 人,16
4364,地 发现,16
4365,哈利 可以 看见,16
4366,你 又,16
4367,什么 也 看 不,16
4368,了 一边,16
4369,显得 十分,16
4370,会 看到,16
4371,和 克鲁姆,16
4372,麻烦 了,16
4373,哈利 坐,16
4374,得到 的,16
4375,会 这么,16
4376,微微 颤抖,16
4377,五十 年,16
4378,晚上 的,16
4379,我 知道 他,16
4380,的 喉咙,16
4381,地 摇,15
4382,利多 站,15
4383,进去 了,15
4384,上去 了,15
4385,他 来到,15
4386,地 瞪 了,15
4387,真 是 太,15
4388,坩埚 里,15
4389,和 珀西,15
4390,小声 地,15
4391,眼睛 仍然,15
4392,使劲 地,15
4393,和 罗恩 都,15
