Type,Pattern,Characters,Pinyin_Sequence,Num_Characters,Tones,Avg_Frequency,Difficulty,Tongue_Twister_Example,Notes
Tone_Series,hua,花哗滑猾话化画划,hua1-hua1-hua2-hua2-hua4-hua4-hua4-hua4,8,"Tone1, Tone1, Tone2, Tone2, Tone4, Tone4, Tone4, Tone4",22,Medium,花哗滑猾话化画划花哗滑,"8 tone variants of ""hua"""
Tone_Series,zhen,真贞枕阵震振,zhen1-zhen1-zhen3-zhen4-zhen4-zhen4,6,"Tone1, Tone1, Tone3, Tone4, Tone4, Tone4",22,Medium,真贞枕阵震振真贞枕,"6 tone variants of ""zhen"""
Tone_Series,gai,该改概盖,gai1-gai3-gai4-gai4,4,"Tone1, Tone3, Tone4, Tone4",22,Medium,该该概，概改盖,"4 tone variants of ""gai"""
Tone_Series,ban,班斑般板办半绊伴,ban1-ban1-ban1-ban3-ban4-ban4-ban4-ban4,8,"Tone1, Tone1, Tone1, Tone3, Tone4, Tone4, Tone4, Tone4",22,Medium,班斑般板办半绊伴班斑般,"8 tone variants of ""ban"""
Tone_Series,lao,劳牢老佬,lao2-lao2-lao3-lao3,4,"Tone2, Tone2, Tone3, Tone3",22,Medium,劳劳老，老牢佬,"4 tone variants of ""lao"""
Tone_Series,bai,白摆百败,bai2-bai3-bai3-bai4,4,"Tone2, Tone3, Tone3, Tone4",21,Medium,白白百，百摆败,"4 tone variants of ""bai"""
Tone_Series,xie,些邪胁斜写谢,xie1-xie2-xie2-xie2-xie3-xie4,6,"Tone1, Tone2, Tone2, Tone2, Tone3, Tone4",20,Medium,些邪胁斜写谢些邪胁,"6 tone variants of ""xie"""
Tone_Series,chi,吃哧持迟尺齿翅,chi1-chi1-chi2-chi2-chi3-chi3-chi4,7,"Tone1, Tone1, Tone2, Tone2, Tone3, Tone3, Tone4",20,Medium,吃哧持迟尺齿翅吃哧持,"7 tone variants of ""chi"""
Tone_Series,zhuo,桌拙捉,zhuo1-zhuo1-zhuo1,3,"Tone1, Tone1, Tone1",20,Easy,桌拙捉，捉拙桌,"3 tone variants of ""zhuo"""
Tone_Series,shan,山闪扇擅,shan1-shan3-shan4-shan4,4,"Tone1, Tone3, Tone4, Tone4",20,Medium,山山扇，扇闪擅,"4 tone variants of ""shan"""
Tone_Series,zhu,猪蛛烛主拄住注助柱祝著,zhu1-zhu1-zhu2-zhu3-zhu3-zhu4-zhu4-zhu4-zhu4-zhu4-zhu4,11,"Tone1, Tone1, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",19,Medium,猪蛛烛主拄住注助柱祝著猪蛛烛,"11 tone variants of ""zhu"""
Tone_Series,huo,活火伙霍获惑祸或,huo2-huo3-huo3-huo4-huo4-huo4-huo4-huo4,8,"Tone2, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",19,Medium,活火伙霍获惑祸或活火伙,"8 tone variants of ""huo"""
Tone_Series,kong,空恐孔控,kong1-kong3-kong3-kong4,4,"Tone1, Tone3, Tone3, Tone4",19,Medium,空空孔，孔恐控,"4 tone variants of ""kong"""
Tone_Series,pang,旁庞胖,pang2-pang2-pang4,3,"Tone2, Tone2, Tone4",19,Easy,旁庞胖，胖庞旁,"3 tone variants of ""pang"""
Tone_Series,ji,激击机基讥叽姬稽肌鸡级及急极吉即集己几挤记继纪寂际迹剂既寄计忌,ji1-ji1-ji1-ji1-ji1-ji1-ji1-ji1-ji1-ji1-ji2-ji2-ji2-ji2-ji2-ji2-ji2-ji3-ji3-ji3-ji4-ji4-ji4-ji4-ji4-ji4-ji4-ji4-ji4-ji4-ji4,31,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",18,Medium,激击机基讥叽姬稽肌鸡级及急极吉即集己几挤记继纪寂际迹剂既寄计忌激击机,"31 tone variants of ""ji"""
Tone_Series,qian,签千前钱潜钳浅欠歉,qian1-qian1-qian2-qian2-qian2-qian2-qian3-qian4-qian4,9,"Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone3, Tone4, Tone4",18,Medium,签千前钱潜钳浅欠歉签千前,"9 tone variants of ""qian"""
Tone_Series,bi,逼鼻比笔彼必壁臂闭币避,bi1-bi2-bi3-bi3-bi3-bi4-bi4-bi4-bi4-bi4-bi4,11,"Tone1, Tone2, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",18,Medium,逼鼻比笔彼必壁臂闭币避逼鼻比,"11 tone variants of ""bi"""
Tone_Series,tong,通同铜统捅桶痛,tong1-tong2-tong2-tong3-tong3-tong3-tong4,7,"Tone1, Tone2, Tone2, Tone3, Tone3, Tone3, Tone4",18,Medium,通同铜统捅桶痛通同铜,"7 tone variants of ""tong"""
Tone_Series,wu,巫屋乌无五午捂舞伍武侮物雾误,wu1-wu1-wu1-wu2-wu3-wu3-wu3-wu3-wu3-wu3-wu3-wu4-wu4-wu4,14,"Tone1, Tone1, Tone1, Tone2, Tone3, Tone3, Tone3, Tone3, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4",18,Medium,巫屋乌无五午捂舞伍武侮物雾误巫屋乌,"14 tone variants of ""wu"""
Tone_Series,xu,需须吁虚许续绪,xu1-xu1-xu1-xu1-xu3-xu4-xu4,7,"Tone1, Tone1, Tone1, Tone1, Tone3, Tone4, Tone4",18,Medium,需须吁虚许续绪需须吁,"7 tone variants of ""xu"""
Tone_Series,wen,温文闻纹吻稳问,wen1-wen2-wen2-wen2-wen3-wen3-wen4,7,"Tone1, Tone2, Tone2, Tone2, Tone3, Tone3, Tone4",17,Medium,温文闻纹吻稳问温文闻,"7 tone variants of ""wen"""
Tone_Series,tu,突图徒涂吐土,tu1-tu2-tu2-tu2-tu3-tu3,6,"Tone1, Tone2, Tone2, Tone2, Tone3, Tone3",17,Medium,突图徒涂吐土突图徒,"6 tone variants of ""tu"""
Tone_Series,gong,公工功攻躬宫供共,gong1-gong1-gong1-gong1-gong1-gong1-gong1-gong4,8,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone4",17,Medium,公工功攻躬宫供共公工功,"8 tone variants of ""gong"""
Tone_Series,suo,缩所索锁嗦,suo1-suo3-suo3-suo3-suo,5,"Tone1, Tone3, Tone3, Tone3, Neutral",17,Medium,缩所索锁嗦缩所索,"5 tone variants of ""suo"""
Tone_Series,dang,当挡荡,dang1-dang3-dang4,3,"Tone1, Tone3, Tone4",17,Easy,当挡荡，荡挡当,"3 tone variants of ""dang"""
Tone_Series,yuan,员原圆园缘远院愿怨,yuan2-yuan2-yuan2-yuan2-yuan2-yuan3-yuan4-yuan4-yuan4,9,"Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone4, Tone4, Tone4",17,Medium,员原圆园缘远院愿怨员原圆,"9 tone variants of ""yuan"""
Tone_Series,zhou,周洲帚肘咒皱,zhou1-zhou1-zhou3-zhou3-zhou4-zhou4,6,"Tone1, Tone1, Tone3, Tone3, Tone4, Tone4",17,Medium,周洲帚肘咒皱周洲帚,"6 tone variants of ""zhou"""
Tone_Series,xi,西希吸息悉膝夕晰稀兮嘻惜熄席习袭喜洗细系戏隙,xi1-xi1-xi1-xi1-xi1-xi1-xi1-xi1-xi1-xi1-xi1-xi1-xi1-xi2-xi2-xi2-xi3-xi3-xi4-xi4-xi4-xi4,22,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4",16,Medium,西希吸息悉膝夕晰稀兮嘻惜熄席习袭喜洗细系戏隙西希吸,"22 tone variants of ""xi"""
Tone_Series,cai,猜才裁采彩睬踩,cai1-cai2-cai2-cai3-cai3-cai3-cai3,7,"Tone1, Tone2, Tone2, Tone3, Tone3, Tone3, Tone3",16,Medium,猜才裁采彩睬踩猜才裁,"7 tone variants of ""cai"""
Tone_Series,mu,姆母拇牡目穆木墓幕慕,mu3-mu3-mu3-mu3-mu4-mu4-mu4-mu4-mu4-mu4,10,"Tone3, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",16,Medium,姆母拇牡目穆木墓幕慕姆母拇,"10 tone variants of ""mu"""
Tone_Series,lang,啷狼廊朗浪,lang1-lang2-lang2-lang3-lang4,5,"Tone1, Tone2, Tone2, Tone3, Tone4",16,Medium,啷狼廊朗浪啷狼廊,"5 tone variants of ""lang"""
Tone_Series,ru,如辱入,ru2-ru3-ru4,3,"Tone2, Tone3, Tone4",16,Easy,如辱入，入辱如,"3 tone variants of ""ru"""
Tone_Series,nan,难男喃南,nan2-nan2-nan2-nan2,4,"Tone2, Tone2, Tone2, Tone2",16,Medium,难难喃，喃男南,"4 tone variants of ""nan"""
Tone_Series,yan,烟恹淹焉严言颜沿研蜒眼鼹掩厌焰咽宴艳,yan1-yan1-yan1-yan1-yan2-yan2-yan2-yan2-yan2-yan2-yan3-yan3-yan3-yan4-yan4-yan4-yan4-yan4,18,"Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",15,Medium,烟恹淹焉严言颜沿研蜒眼鼹掩厌焰咽宴艳烟恹淹,"18 tone variants of ""yan"""
Tone_Series,hu,乎呼糊胡湖狐壶弧护户互,hu1-hu1-hu2-hu2-hu2-hu2-hu2-hu2-hu4-hu4-hu4,11,"Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone4, Tone4, Tone4",15,Medium,乎呼糊胡湖狐壶弧护户互乎呼糊,"11 tone variants of ""hu"""
Tone_Series,fen,分芬吩氛纷坟粉愤份奋粪,fen1-fen1-fen1-fen1-fen1-fen2-fen3-fen4-fen4-fen4-fen4,11,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone2, Tone3, Tone4, Tone4, Tone4, Tone4",15,Medium,分芬吩氛纷坟粉愤份奋粪分芬吩,"11 tone variants of ""fen"""
Tone_Series,lou,楼髅搂漏陋,lou2-lou2-lou3-lou4-lou4,5,"Tone2, Tone2, Tone3, Tone4, Tone4",15,Medium,楼髅搂漏陋楼髅搂,"5 tone variants of ""lou"""
Tone_Series,lan,兰蓝栏懒滥烂,lan2-lan2-lan2-lan3-lan4-lan4,6,"Tone2, Tone2, Tone2, Tone3, Tone4, Tone4",15,Medium,兰蓝栏懒滥烂兰蓝栏,"6 tone variants of ""lan"""
Tone_Series,ling,灵铃零凌龄领另令,ling2-ling2-ling2-ling2-ling2-ling3-ling4-ling4,8,"Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone4, Tone4",15,Medium,灵铃零凌龄领另令灵铃零,"8 tone variants of ""ling"""
Tone_Series,bing,冰饼并病,bing1-bing3-bing4-bing4,4,"Tone1, Tone3, Tone4, Tone4",15,Medium,冰冰并，并饼病,"4 tone variants of ""bing"""
Tone_Series,yue,约月越悦,yue1-yue4-yue4-yue4,4,"Tone1, Tone4, Tone4, Tone4",15,Medium,约约越，越月悦,"4 tone variants of ""yue"""
Tone_Series,chao,超朝嘲潮吵,chao1-chao2-chao2-chao2-chao3,5,"Tone1, Tone2, Tone2, Tone2, Tone3",14,Medium,超朝嘲潮吵超朝嘲,"5 tone variants of ""chao"""
Tone_Series,fu,夫肤弗福伏服扶佛幅芙浮符蝠抚釜俯腑腐父副复付妇覆附咐,fu1-fu1-fu2-fu2-fu2-fu2-fu2-fu2-fu2-fu2-fu2-fu2-fu2-fu3-fu3-fu3-fu3-fu3-fu4-fu4-fu4-fu4-fu4-fu4-fu4-fu4,26,"Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",14,Medium,夫肤弗福伏服扶佛幅芙浮符蝠抚釜俯腑腐父副复付妇覆附咐夫肤弗,"26 tone variants of ""fu"""
Tone_Series,dan,单担胆但蛋诞淡弹,dan1-dan1-dan3-dan4-dan4-dan4-dan4-dan4,8,"Tone1, Tone1, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",14,Medium,单担胆但蛋诞淡弹单担胆,"8 tone variants of ""dan"""
Tone_Series,ping,平瓶坪屏凭,ping2-ping2-ping2-ping2-ping2,5,"Tone2, Tone2, Tone2, Tone2, Tone2",14,Medium,平瓶坪屏凭平瓶坪,"5 tone variants of ""ping"""
Tone_Series,man,瞒满慢曼漫,man2-man3-man4-man4-man4,5,"Tone2, Tone3, Tone4, Tone4, Tone4",14,Medium,瞒满慢曼漫瞒满慢,"5 tone variants of ""man"""
Tone_Series,mao,猫毛冒帽茂貌,mao1-mao2-mao4-mao4-mao4-mao4,6,"Tone1, Tone2, Tone4, Tone4, Tone4, Tone4",14,Medium,猫毛冒帽茂貌猫毛冒,"6 tone variants of ""mao"""
Tone_Series,tui,推腿退,tui1-tui3-tui4,3,"Tone1, Tone3, Tone4",14,Easy,推腿退，退腿推,"3 tone variants of ""tui"""
Tone_Series,an,安暗按,an1-an4-an4,3,"Tone1, Tone4, Tone4",14,Easy,安暗按，按暗安,"3 tone variants of ""an"""
Tone_Series,zha,扎喳眨炸栅,zha1-zha1-zha3-zha4-zha4,5,"Tone1, Tone1, Tone3, Tone4, Tone4",13,Medium,扎喳眨炸栅扎喳眨,"5 tone variants of ""zha"""
Tone_Series,ti,梯踢提题体惕替屉涕,ti1-ti1-ti2-ti2-ti3-ti4-ti4-ti4-ti4,9,"Tone1, Tone1, Tone2, Tone2, Tone3, Tone4, Tone4, Tone4, Tone4",13,Medium,梯踢提题体惕替屉涕梯踢提,"9 tone variants of ""ti"""
Tone_Series,pa,啪趴爬怕帕,pa1-pa1-pa2-pa4-pa4,5,"Tone1, Tone1, Tone2, Tone4, Tone4",13,Medium,啪趴爬怕帕啪趴爬,"5 tone variants of ""pa"""
Tone_Series,nong,农哝浓脓弄,nong2-nong2-nong2-nong2-nong4,5,"Tone2, Tone2, Tone2, Tone2, Tone4",13,Medium,农哝浓脓弄农哝浓,"5 tone variants of ""nong"""
Tone_Series,qiang,腔呛跄墙强,qiang1-qiang1-qiang1-qiang2-qiang2,5,"Tone1, Tone1, Tone1, Tone2, Tone2",13,Medium,腔呛跄墙强腔呛跄,"5 tone variants of ""qiang"""
Tone_Series,zong,踪棕总,zong1-zong1-zong3,3,"Tone1, Tone1, Tone3",13,Easy,踪棕总，总棕踪,"3 tone variants of ""zong"""
Tone_Series,hun,昏魂浑混,hun1-hun2-hun2-hun4,4,"Tone1, Tone2, Tone2, Tone4",13,Medium,昏昏浑，浑魂混,"4 tone variants of ""hun"""
Tone_Series,zhao,招找爪照召罩兆,zhao1-zhao3-zhao3-zhao4-zhao4-zhao4-zhao4,7,"Tone1, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4",12,Medium,招找爪照召罩兆招找爪,"7 tone variants of ""zhao"""
Tone_Series,jie,接街阶节结杰竭捷解姐界介,jie1-jie1-jie1-jie2-jie2-jie2-jie2-jie2-jie3-jie3-jie4-jie4,12,"Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4",12,Medium,接街阶节结杰竭捷解姐界介接街阶,"12 tone variants of ""jie"""
Tone_Series,ying,鹰应英赢迎荧蝇盈莹营影硬映,ying1-ying1-ying1-ying2-ying2-ying2-ying2-ying2-ying2-ying2-ying3-ying4-ying4,13,"Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone4, Tone4",12,Medium,鹰应英赢迎荧蝇盈莹营影硬映鹰应英,"13 tone variants of ""ying"""
Tone_Series,shu,书舒殊输熟鼠暑属树术数束竖恕,shu1-shu1-shu1-shu1-shu2-shu3-shu3-shu3-shu4-shu4-shu4-shu4-shu4-shu4,14,"Tone1, Tone1, Tone1, Tone1, Tone2, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",12,Medium,书舒殊输熟鼠暑属树术数束竖恕书舒殊,"14 tone variants of ""shu"""
Tone_Series,qie,且切怯窃,qie3-qie4-qie4-qie4,4,"Tone3, Tone4, Tone4, Tone4",12,Medium,且且怯，怯切窃,"4 tone variants of ""qie"""
Tone_Series,leng,棱冷愣,leng2-leng3-leng4,3,"Tone2, Tone3, Tone4",12,Easy,棱冷愣，愣冷棱,"3 tone variants of ""leng"""
Tone_Series,wan,弯剜蜿完玩晚碗万腕,wan1-wan1-wan1-wan2-wan2-wan3-wan3-wan4-wan4,9,"Tone1, Tone1, Tone1, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4",12,Medium,弯剜蜿完玩晚碗万腕弯剜蜿,"9 tone variants of ""wan"""
Tone_Series,ya,压牙哑讶亚呀,ya1-ya2-ya3-ya4-ya4-ya,6,"Tone1, Tone2, Tone3, Tone4, Tone4, Neutral",12,Medium,压牙哑讶亚呀压牙哑,"6 tone variants of ""ya"""
Tone_Series,zhan,詹沾粘盏展崭站占战绽蘸,zhan1-zhan1-zhan1-zhan3-zhan3-zhan3-zhan4-zhan4-zhan4-zhan4-zhan4,11,"Tone1, Tone1, Tone1, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",11,Medium,詹沾粘盏展崭站占战绽蘸詹沾粘,"11 tone variants of ""zhan"""
Tone_Series,cheng,撑称成城承程诚惩,cheng1-cheng1-cheng2-cheng2-cheng2-cheng2-cheng2-cheng2,8,"Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone2",11,Medium,撑称成城承程诚惩撑称成,"8 tone variants of ""cheng"""
Tone_Series,quan,圈全拳权蜷鬈,quan1-quan2-quan2-quan2-quan2-quan2,6,"Tone1, Tone2, Tone2, Tone2, Tone2, Tone2",11,Medium,圈全拳权蜷鬈圈全拳,"6 tone variants of ""quan"""
Tone_Series,guan,关观冠官管馆盥惯灌罐,guan1-guan1-guan1-guan1-guan3-guan3-guan4-guan4-guan4-guan4,10,"Tone1, Tone1, Tone1, Tone1, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4",11,Medium,关观冠官管馆盥惯灌罐关观冠,"10 tone variants of ""guan"""
Tone_Series,pu,扑噗仆普蹼铺,pu1-pu1-pu1-pu3-pu3-pu4,6,"Tone1, Tone1, Tone1, Tone3, Tone3, Tone4",11,Medium,扑噗仆普蹼铺扑噗仆,"6 tone variants of ""pu"""
Tone_Series,huan,欢环缓换幻唤患,huan1-huan2-huan3-huan4-huan4-huan4-huan4,7,"Tone1, Tone2, Tone3, Tone4, Tone4, Tone4, Tone4",11,Medium,欢环缓换幻唤患欢环缓,"7 tone variants of ""huan"""
Tone_Series,la,拉蜡辣啦,la1-la4-la4-la,4,"Tone1, Tone4, Tone4, Neutral",11,Medium,拉拉辣，辣蜡啦,"4 tone variants of ""la"""
Tone_Series,bao,包胞薄保堡宝抱报爆暴,bao1-bao1-bao2-bao3-bao3-bao3-bao4-bao4-bao4-bao4,10,"Tone1, Tone1, Tone2, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4",11,Medium,包胞薄保堡宝抱报爆暴包胞薄,"10 tone variants of ""bao"""
Tone_Series,song,松耸悚送,song1-song3-song3-song4,4,"Tone1, Tone3, Tone3, Tone4",11,Medium,松松悚，悚耸送,"4 tone variants of ""song"""
Tone_Series,chen,沉晨尘辰陈,chen2-chen2-chen2-chen2-chen2,5,"Tone2, Tone2, Tone2, Tone2, Tone2",10,Medium,沉晨尘辰陈沉晨尘,"5 tone variants of ""chen"""
Tone_Series,ju,鞠居局举句巨剧具据惧俱聚距,ju1-ju1-ju2-ju3-ju4-ju4-ju4-ju4-ju4-ju4-ju4-ju4-ju4,13,"Tone1, Tone1, Tone2, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",10,Medium,鞠居局举句巨剧具据惧俱聚距鞠居局,"13 tone variants of ""ju"""
Tone_Series,zao,糟遭早躁造,zao1-zao1-zao3-zao4-zao4,5,"Tone1, Tone1, Tone3, Tone4, Tone4",10,Medium,糟遭早躁造糟遭早,"5 tone variants of ""zao"""
Tone_Series,mi,眯迷弥米密秘蜜,mi1-mi2-mi2-mi3-mi4-mi4-mi4,7,"Tone1, Tone2, Tone2, Tone3, Tone4, Tone4, Tone4",10,Medium,眯迷弥米密秘蜜眯迷弥,"7 tone variants of ""mi"""
Tone_Series,lu,噜卢炉鲁路露鹿录漉,lu1-lu2-lu2-lu3-lu4-lu4-lu4-lu4-lu4,9,"Tone1, Tone2, Tone2, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",10,Medium,噜卢炉鲁路露鹿录漉噜卢炉,"9 tone variants of ""lu"""
Tone_Series,bang,帮邦膀绑棒,bang1-bang1-bang3-bang3-bang4,5,"Tone1, Tone1, Tone3, Tone3, Tone4",10,Medium,帮邦膀绑棒帮邦膀,"5 tone variants of ""bang"""
Tone_Series,cha,叉插查茶差,cha1-cha1-cha2-cha2-cha4,5,"Tone1, Tone1, Tone2, Tone2, Tone4",10,Medium,叉插查茶差叉插查,"5 tone variants of ""cha"""
Tone_Series,mai,埋买麦卖迈,mai2-mai3-mai4-mai4-mai4,5,"Tone2, Tone3, Tone4, Tone4, Tone4",10,Medium,埋买麦卖迈埋买麦,"5 tone variants of ""mai"""
Tone_Series,qiao,敲悄乔瞧憔巧,qiao1-qiao1-qiao2-qiao2-qiao2-qiao3,6,"Tone1, Tone1, Tone2, Tone2, Tone2, Tone3",10,Medium,敲悄乔瞧憔巧敲悄乔,"6 tone variants of ""qiao"""
Tone_Series,she,蛇舌舍摄社,she2-she2-she3-she4-she4,5,"Tone2, Tone2, Tone3, Tone4, Tone4",10,Medium,蛇舌舍摄社蛇舌舍,"5 tone variants of ""she"""
Tone_Series,gou,勾狗够构,gou1-gou3-gou4-gou4,4,"Tone1, Tone3, Tone4, Tone4",10,Medium,勾勾够，够狗构,"4 tone variants of ""gou"""
Tone_Series,po,珀破迫,po4-po4-po4,3,"Tone4, Tone4, Tone4",10,Easy,珀破迫，迫破珀,"3 tone variants of ""po"""
Tone_Series,tang,汤堂唐糖膛躺趟,tang1-tang2-tang2-tang2-tang2-tang3-tang4,7,"Tone1, Tone2, Tone2, Tone2, Tone2, Tone3, Tone4",9,Medium,汤堂唐糖膛躺趟汤堂唐,"7 tone variants of ""tang"""
Tone_Series,yu,于愉愚鱼余语与羽雨御育遇预豫欲狱誉,yu2-yu2-yu2-yu2-yu2-yu3-yu3-yu3-yu3-yu4-yu4-yu4-yu4-yu4-yu4-yu4-yu4,17,"Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",9,Medium,于愉愚鱼余语与羽雨御育遇预豫欲狱誉于愉愚,"17 tone variants of ""yu"""
Tone_Series,fan,翻番烦凡反返饭犯泛,fan1-fan1-fan2-fan2-fan3-fan3-fan4-fan4-fan4,9,"Tone1, Tone1, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4",9,Medium,翻番烦凡反返饭犯泛翻番烦,"9 tone variants of ""fan"""
Tone_Series,lei,雷类累泪,lei2-lei4-lei4-lei4,4,"Tone2, Tone4, Tone4, Tone4",9,Medium,雷雷累，累类泪,"4 tone variants of ""lei"""
Tone_Series,chan,蟾缠产颤,chan2-chan2-chan3-chan4,4,"Tone2, Tone2, Tone3, Tone4",9,Medium,蟾蟾产，产缠颤,"4 tone variants of ""chan"""
Tone_Series,liu,溜留流柳六,liu1-liu2-liu2-liu3-liu4,5,"Tone1, Tone2, Tone2, Tone3, Tone4",9,Medium,溜留流柳六溜留流,"5 tone variants of ""liu"""
Tone_Series,ai,哀埃矮爱,ai1-ai1-ai3-ai4,4,"Tone1, Tone1, Tone3, Tone4",9,Medium,哀哀矮，矮埃爱,"4 tone variants of ""ai"""
Tone_Series,pai,拍排派,pai1-pai2-pai4,3,"Tone1, Tone2, Tone4",9,Easy,拍排派，派排拍,"3 tone variants of ""pai"""
Tone_Series,lin,拎林临鳞凛,lin1-lin2-lin2-lin2-lin3,5,"Tone1, Tone2, Tone2, Tone2, Tone3",8,Medium,拎林临鳞凛拎林临,"5 tone variants of ""lin"""
Tone_Series,kui,亏盔窥魁愧,kui1-kui1-kui1-kui2-kui4,5,"Tone1, Tone1, Tone1, Tone2, Tone4",8,Medium,亏盔窥魁愧亏盔窥,"5 tone variants of ""kui"""
Tone_Series,chou,抽愁丑瞅臭,chou1-chou2-chou3-chou3-chou4,5,"Tone1, Tone2, Tone3, Tone3, Tone4",8,Medium,抽愁丑瞅臭抽愁丑,"5 tone variants of ""chou"""
Tone_Series,peng,砰朋篷棚蓬膨捧碰,peng1-peng2-peng2-peng2-peng2-peng2-peng3-peng4,8,"Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone4",8,Medium,砰朋篷棚蓬膨捧碰砰朋篷,"8 tone variants of ""peng"""
Tone_Series,feng,封疯蜂风丰讽缝凤,feng1-feng1-feng1-feng1-feng1-feng3-feng4-feng4,8,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone3, Tone4, Tone4",8,Medium,封疯蜂风丰讽缝凤封疯蜂,"8 tone variants of ""feng"""
Tone_Series,pao,抛袍咆跑炮泡,pao1-pao2-pao2-pao3-pao4-pao4,6,"Tone1, Tone2, Tone2, Tone3, Tone4, Tone4",8,Medium,抛袍咆跑炮泡抛袍咆,"6 tone variants of ""pao"""
Tone_Series,chong,冲充忡虫宠,chong1-chong1-chong1-chong2-chong3,5,"Tone1, Tone1, Tone1, Tone2, Tone3",8,Medium,冲充忡虫宠冲充忡,"5 tone variants of ""chong"""
Tone_Series,miao,苗秒妙,miao2-miao3-miao4,3,"Tone2, Tone3, Tone4",8,Easy,苗秒妙，妙秒苗,"3 tone variants of ""miao"""
Tone_Series,tao,掏滔逃桃讨套,tao1-tao1-tao2-tao2-tao3-tao4,6,"Tone1, Tone1, Tone2, Tone2, Tone3, Tone4",8,Medium,掏滔逃桃讨套掏滔逃,"6 tone variants of ""tao"""
Tone_Series,zhuang,装撞状壮,zhuang1-zhuang4-zhuang4-zhuang4,4,"Tone1, Tone4, Tone4, Tone4",8,Medium,装装状，状撞壮,"4 tone variants of ""zhuang"""
Tone_Series,gui,规瑰龟鬼柜跪贵,gui1-gui1-gui1-gui3-gui4-gui4-gui4,7,"Tone1, Tone1, Tone1, Tone3, Tone4, Tone4, Tone4",7,Medium,规瑰龟鬼柜跪贵规瑰龟,"7 tone variants of ""gui"""
Tone_Series,han,鼾含寒喊憾汉汗,han1-han2-han2-han3-han4-han4-han4,7,"Tone1, Tone2, Tone2, Tone3, Tone4, Tone4, Tone4",7,Medium,鼾含寒喊憾汉汗鼾含寒,"7 tone variants of ""han"""
Tone_Series,jiang,将僵姜浆讲奖降,jiang1-jiang1-jiang1-jiang1-jiang3-jiang3-jiang4,7,"Tone1, Tone1, Tone1, Tone1, Tone3, Tone3, Tone4",7,Medium,将僵姜浆讲奖降将僵姜,"7 tone variants of ""jiang"""
Tone_Series,can,参餐残惨灿,can1-can1-can2-can3-can4,5,"Tone1, Tone1, Tone2, Tone3, Tone4",7,Medium,参餐残惨灿参餐残,"5 tone variants of ""can"""
