Order Number,Item,Pinyin,Frequency,Definition,Usage,Part_of_Speech,Status
374,完,wan2,32,"To finish, complete, or run out of something. Often used as a complement after verbs to indicate completion of an action.","Common in phrases like 做完 (finish doing), 吃完 (finish eating), or 完了 (it's over/finished)",verb,success
375,待,dai4,32,To treat or deal with someone in a certain way; to wait or stay. Also means treatment or hospitality shown to someone.,"Common in words like 对待 (to treat), 待遇 (treatment/benefits), and 等待 (to wait)",verb,success
376,怕,pa4,32,To be afraid of or to fear something; to worry that something bad might happen.,Common in expressions like 我怕狗 (I'm afraid of dogs) or 别怕 (don't be afraid),verb,success
377,愿,yuan4,32,"To be willing, to wish, or to hope for something; expresses desire or willingness to do something.",Common in phrases like 我愿意 (I'm willing) and 祝愿 (to wish someone well),verb,success
378,猫,mao1,32,Cat; a common domestic animal kept as a pet or for catching mice.,"Used in words like 猫咪 (kitty) and 熊猫 (panda, literally 'bear cat')",noun,success
379,之,zhi1,31,"Classical Chinese possessive or attributive particle, equivalent to 的 in modern Chinese. Also used to mean 'to go to' in literary contexts.","Mainly found in formal writing, idioms, and classical expressions like 总之 (in summary) or place names",particle,success
380,句,ju4,31,A measure word for sentences or lines of text; also means 'sentence' as a noun.,Used in phrases like 一句话 (one sentence) or 两句诗 (two lines of poetry),measure word/noun,success
381,抽,chou1,31,"To pull out, draw out, or extract something from a larger group or container; also means to smoke (a cigarette) or to take time from a busy schedule.","Common in phrases like 抽烟 (to smoke), 抽签 (to draw lots), 抽时间 (to find/make time)",verb,success
382,树,shu4,31,A tree; a woody plant with a trunk and branches.,"Common in words like 树木 (trees), 果树 (fruit tree), 大树 (big tree)",noun,success
383,深,shen1,31,"Deep or profound, describing physical depth (like water or holes) or abstract depth (like knowledge, feelings, or colors).","Common in words like 深夜 (late night), 深色 (dark color), 深刻 (profound)",adjective,success
384,简,jian3,31,"Simple, brief, or uncomplicated. Often used to describe things that are easy to understand or not complex.","Common in words like 简单 (simple), 简历 (resume/CV), and 简体字 (simplified characters)",adjective,success
385,近,jin4,31,Near or close in distance or time; can also mean recent or intimate.,"Used in words like 最近 (recently), 附近 (nearby), 接近 (to approach)",adjective/verb,success
386,远,yuan3,31,Far or distant in space or time; the opposite of near (近).,Used to describe physical distance (很远 - very far) or relationships (远亲 - distant relative),adjective,success
387,顶,ding3,31,"Top, peak, or summit of something; also used as a measure word for things with tops like hats or sedan chairs",Common in words like 山顶 (mountain top) and as a measure word in 一顶帽子 (one hat),noun/measure word,success
388,令,ling4,30,"To cause, to make, or to order/command someone to do something. Also used as a formal word for 'order' or 'decree'.","Commonly seen in compounds like 命令 (command), 令人 (to make people feel), and 口令 (password/command)",verb,success
389,半,ban4,30,Half or semi-; indicates one of two equal parts or an incomplete amount of something.,"Common in time expressions like 半天 (half a day), 一半 (one half), and 半夜 (midnight)",number/adjective,success
390,底,di3,30,"Bottom, base, or foundation of something; the lowest part or end of an object or place.","Common in words like 底下 (below/underneath), 海底 (seabed), 到底 (after all/in the end)",noun,success
391,御,yu4,30,"To resist, defend against, or ward off; also means imperial or related to the emperor in classical contexts.","Common in words like 防御 (defense), 抵御 (to resist), and historical terms like 御用 (for imperial use)",verb,success
392,早,zao3,30,Early or morning; describes something happening in the early part of the day or before the expected time.,Commonly used in greetings like 早上好 (good morning) or to describe arriving early,adjective/noun,success
393,术,shu4,30,"Method, technique, or skill; often refers to a specialized art, craft, or systematic approach to doing something.","Commonly used in compound words like 技术 (technology), 美术 (fine arts), 手术 (surgery), and 武术 (martial arts)",noun,success
394,红,hong2,30,"The color red; also means popular, successful, or revolutionary in certain contexts.","Used to describe red objects like 红色 (red color), 红花 (red flower), or popularity as in 走红 (become popular/famous)",adjective,success
395,表,biao3,30,"A table, form, or chart used to display information; also means a watch or meter for measuring time or quantities.","Common in words like 手表 (wristwatch), 表格 (form/table), and 时间表 (timetable)",noun,success
396,通,tong1,30,"To go through, connect, or lead to; to be open or unobstructed. Also means to communicate or understand thoroughly.","Common in words like 交通 (traffic), 通过 (to pass through), and 普通 (ordinary/common)",verb/adjective,success
397,防,fang2,30,"To defend, guard against, or prevent something from happening. Commonly used to describe protective measures or prevention of unwanted situations.","Found in words like 预防 (prevent), 防止 (prevent/guard against), 国防 (national defense)",verb,success
398,鬼,gui3,30,"Ghost, spirit, or demon; a supernatural being in Chinese folklore and culture. Also used informally to describe someone who is sneaky or crafty.",Common in expressions like 小鬼 (little devil/kid) or 鬼故事 (ghost story),noun,success
399,二,er4,29,The number two; the second in a sequence or order.,"Used in counting, dates, and ordinal expressions like 第二 (the second)",number,success
400,倒,dao4,29,"To fall down, collapse, or topple over; also means to pour (liquid) or to move backwards.","Common in phrases like 倒水 (pour water), 摔倒 (fall down), 倒车 (reverse a car)",verb,success
401,共,gong4,29,"Together, in total, or altogether; indicates a sum or collective amount.","Commonly used in phrases like 一共 (yígòng - altogether) to express totals, as in 一共十块钱 (altogether 10 yuan)",adverb,success
402,刻,ke4,29,"A quarter of an hour (15 minutes); also means to carve, engrave, or cut into a surface.","Most commonly used in telling time, like 三点一刻 (3:15) or 差一刻四点 (3:45). As a verb, used for carving or engraving.",noun/verb,success
403,友,you3,29,Friend or friendship. This character represents a companion or someone you have a friendly relationship with.,"Commonly seen in words like 朋友 (péngyou - friend), 友好 (yǒuhǎo - friendly), and 友谊 (yǒuyì - friendship)",noun,success
404,呼,hu1,29,"To exhale, breathe out, or call out loudly; also means to shout or yell someone's name.","Common in words like 呼吸 (to breathe), 呼叫 (to call out), and 欢呼 (to cheer)",verb,success
405,抖,dou3,29,"To shake, tremble, or shiver; to vibrate or quiver suddenly or repeatedly.","Commonly used to describe physical shaking from cold (发抖), trembling from fear, or shaking something to remove dust",verb,success
406,新,xin1,29,"New, fresh, or recent; the opposite of old (旧). Used to describe things that have just been made, acquired, or are modern.","Common in words like 新年 (New Year), 新闻 (news), 新鲜 (fresh)",adjective,success
407,梯,ti1,29,Ladder or stairs; a structure with steps used for climbing up or down.,"Commonly seen in words like 楼梯 (staircase), 电梯 (elevator), and 梯子 (ladder)",noun,success
408,玩,wan2,29,"To play, have fun, or enjoy oneself; can also mean to play with something or visit a place for leisure.","Common in phrases like 玩游戏 (play games), 玩具 (toy), or 去北京玩 (go to Beijing for fun)",verb,success
409,管,guan3,29,"To manage, control, or be in charge of something; also means a tube or pipe as a noun.","Common in phrases like 管理 (to manage), 不管 (no matter/regardless), and 管子 (pipe/tube)",verb/noun,success
410,阵,zhen4,29,"A measure word for short bursts or spells of something, like wind, rain, or sound. Also means battle formation or position in military contexts.",Common in phrases like 一阵风 (a gust of wind) or 一阵雨 (a spell of rain),measure word / noun,success
411,难,nan2,29,Difficult or hard; not easy to do or understand. Can also mean unpleasant or bad when describing situations.,"Common in phrases like 很难 (very difficult), 难过 (sad/upset), 困难 (difficulty)",adjective,success
412,世,shi4,28,"World, generation, or era. Refers to the human world, society, or a period of time spanning approximately 30 years.","Common in words like 世界 (world), 世纪 (century), and 一生一世 (one's whole life)",noun,success
413,农,nong2,28,Agriculture or farming; also refers to a farmer or peasant.,"Commonly seen in words like 农民 (farmer), 农业 (agriculture), and 农村 (rural area/countryside)",noun,success
414,喊,han3,28,"To shout, yell, or call out loudly. Used when someone raises their voice to get attention or express strong emotion.",Common in phrases like 大声喊 (shout loudly) or 喊名字 (call someone's name),verb,success
415,塞,sai1,28,"To stuff, fill, or block something; to squeeze or cram into a space",Common in expressions like 塞车 (traffic jam) or 塞满 (to stuff full),verb,success
416,墙,qiang2,28,"A wall, typically referring to the vertical structure that forms the side of a building or encloses an area.","Common in phrases like 墙壁 (wall), 长城 (Great Wall), and 撞墙 (hit a wall)",noun,success
417,姆,mu3,28,"A character primarily used in transliterations of foreign words and names, most commonly seen in 姆妈 (māma, nanny/nursemaid) or foreign place names.","Frequently appears in words like 保姆 (bǎomǔ, nanny/housekeeper) and transliterations such as 斯德哥尔姆 (Stockholm)",noun,success
418,始,shi3,28,To begin or start; the beginning or origin of something.,Commonly seen in words like 开始 (kāishǐ - to start) and 始终 (shǐzhōng - from beginning to end),verb/noun,success
419,尼,ni2,28,"A character primarily used in transliterations of foreign words and names, most commonly seen in Buddhist terms. Also means 'nun' in Buddhist context.","Common in words like 尼姑 (Buddhist nun), 尼泊尔 (Nepal), and 肯尼亚 (Kenya)",noun/transliteration,success
420,工,gong1,28,"Work, labor, or worker; also refers to engineering or industry. One of the most fundamental characters related to employment and construction.","Common in words like 工作 (work/job), 工人 (worker), and 工程 (engineering/project)",noun,success
421,强,qiang2,28,"Strong, powerful, or better than others. Can describe physical strength, ability, or intensity.","Common in words like 强大 (powerful), 坚强 (strong-willed), and comparisons like 比...强 (better than...)",adjective,success
422,总,zong3,28,"Always, invariably; also means 'total' or 'overall'. Used as an adverb to indicate something happens consistently or as an adjective for totals and general situations.","Common in phrases like 总是 (always), 总共 (altogether), 总统 (president)",adverb/adjective,success
423,月,yue4,28,Moon; also means month in the calendar sense.,"Used in time expressions like 一月 (January), 三个月 (three months), and phrases like 月亮 (moon)",noun,success
424,烦,fan2,28,"To be annoyed, irritated, or troubled; to feel vexed or bothered by something or someone.","Commonly used in expressions like 烦人 (annoying), 烦恼 (worried/troubled), or 别烦我 (don't bother me)",adjective/verb,success
425,皮,pi2,28,"Skin, leather, or outer covering/peel of something. Also means naughty or mischievous when describing behavior.","Common in words like 皮肤 (skin), 皮鞋 (leather shoes), 果皮 (fruit peel), and 顽皮 (naughty)",noun/adjective,success
426,部,bu4,28,"A measure word for books, films, machines, and vehicles; also means 'part', 'section', or 'department'","Used in phrases like 一部电影 (one film), 部分 (part/portion), or 外交部 (Ministry of Foreign Affairs)",measure word/noun,success
427,隐,yin3,28,"To hide, conceal, or keep something secret; to be hidden or invisible from view.","Common in words like 隐藏 (to hide), 隐私 (privacy), and 隐瞒 (to conceal information)",verb/adjective,success
428,五,wu3,27,The number five. One of the most basic and frequently used numbers in Chinese.,"Used in counting, dates, times, and quantities like 五个人 (five people) or 星期五 (Friday)",number,success
429,任,ren4,27,To appoint or assign someone to a position; to take on or assume a responsibility or duty. Also means 'any' or 'no matter' when used in certain compound words.,"Common in words like 任务 (task/mission), 责任 (responsibility), 任何 (any), and 担任 (to hold a post)",verb,success
430,处,chu4,27,A place or location; also means to get along with someone or to handle/deal with a situation.,"Common in words like 到处 (everywhere), 相处 (get along with), and 处理 (handle/deal with)",noun/verb,success
431,妮,ni1,27,"A character meaning 'girl' or 'young woman', primarily used as a suffix in names or informal terms for girls.",Commonly seen in names like 妮妮 (Nini) or in the word 小妮子 (little girl),noun,success
432,实,shi2,27,"Real, true, or solid; refers to something actual or concrete as opposed to empty or false.","Commonly seen in words like 现实 (reality), 实际 (actual), 老实 (honest), and 事实 (fact)",adjective,success
433,巨,ju4,27,"Huge, enormous, or gigantic in size or scale. Used to describe something exceptionally large or significant.","Commonly appears in words like 巨大 (jùdà - huge), 巨人 (jùrén - giant), and 巨额 (jù'é - enormous sum)",adjective,success
434,微,wei1,27,"Means 'tiny', 'minute', or 'slight'; describes something extremely small or minimal in size, degree, or amount.","Common in words like 微笑 (smile), 微信 (WeChat), and 微小 (tiny)",adjective,success
435,朋,peng2,27,"Friend or companion. This character is most commonly seen in the word 朋友 (péngyou), meaning 'friend'.",Rarely used alone in modern Chinese; almost always appears in compound words like 朋友 (friend),noun,success
436,椅,yi3,27,Chair or seat. Most commonly used in the compound word 椅子 (yǐzi) meaning chair.,Almost always appears as 椅子 rather than alone,noun,success
437,消,xiao1,27,"To disappear, vanish, or eliminate; to reduce or dispel something.","Commonly used in words like 消息 (news), 取消 (cancel), 消费 (consume), and 消失 (disappear)",verb,success
438,男,nan2,27,Male or man; refers to the masculine gender or a male person.,"Common in words like 男人 (man), 男孩 (boy), and 男女 (male and female)",noun/adjective,success
439,睡,shui4,27,To sleep or go to bed. This is the primary verb used to express sleeping in Mandarin Chinese.,Commonly used in phrases like 睡觉 (shuì jiào - to sleep) and 睡着 (shuì zháo - to fall asleep),verb,success
440,窗,chuang1,27,"Window; an opening in a wall or vehicle that lets in light and air, typically fitted with glass.",Commonly used in words like 窗户 (chuānghu - window) and 窗口 (chuāngkǒu - window/counter),noun,success
441,饭,fan4,27,Cooked rice; a meal or food in general. This is one of the most essential food-related words in Chinese.,"Used in common phrases like 吃饭 (eat a meal), 早饭 (breakfast), 午饭 (lunch), 晚饭 (dinner)",noun,success
442,于,yu2,26,"A preposition meaning 'in', 'at', 'to', or 'from' that indicates location, time, or direction. It is commonly used in formal or written Chinese to show relationships between actions and places/times.","Often appears in phrases like 位于 (to be located at), 关于 (about/regarding), 由于 (due to)",preposition,success
443,仍,reng2,26,"Still, yet; indicates that a situation or action continues unchanged from before","Commonly used in phrases like 仍然 (still, yet) and 仍旧 (still, as before)",adverb,success
444,休,xiu1,26,"To rest, take a break, or have time off from work or activities. Also means to stop or cease doing something.","Common in words like 休息 (rest), 休假 (take a vacation), and 退休 (retire)",verb,success
445,何,he2,26,"Question word meaning 'what', 'why', or 'how'; used in formal or literary contexts to ask questions.","Common in phrases like 为何 (why), 如何 (how), and 何时 (when). More formal than 什么.",question word/pronoun,success
446,及,ji2,26,"Means 'and', 'as well as', or 'to reach/attain'. Used to connect nouns or phrases in formal or written Chinese, similar to 'and' but more literary than 和.",Common in formal contexts like 老师及学生 (teachers and students) or in the word 以及 (as well as),conjunction/verb,success
447,周,zhou1,26,Week; also means 'around' or 'circumference'. Most commonly used in time expressions to refer to a week or days of the week.,"Found in words like 星期/周末 (weekend), 周一 (Monday), 周围 (surroundings)",noun/measure word,success
448,密,mi4,26,"Dense, thick, or close together; secret or confidential. Describes things that are tightly packed or information that should be kept private.","Common in words like 秘密 (secret), 密码 (password), 紧密 (tight/close), and 茂密 (dense/thick)",adjective,success
449,将,jiang1,26,A formal or literary word meaning 'will' or 'shall' to indicate future action; also used as a preposition meaning 'to take' or 'to use' to introduce an object that undergoes an action.,"Common in written Chinese and the 将 (bǎ) construction, as in 将来 (future) or 将书放在桌子上 (place the book on the table)",adverb/preposition,success
450,影,ying3,26,"Shadow or reflection; also commonly used to mean image, picture, or film/movie.","Found in words like 电影 (diànyǐng - movie), 影子 (yǐngzi - shadow), and 摄影 (shèyǐng - photography)",noun,success
451,止,zhi3,26,"To stop, halt, or cease; to prevent or prohibit something from continuing.","Common in words like 停止 (to stop), 禁止 (to forbid), and 阻止 (to prevent)",verb,success
452,穆,mu4,26,"Solemn, respectful, or reverent; describes a dignified and serious atmosphere or manner.",Commonly used in formal contexts and frequently appears in Chinese surnames (穆先生),adjective,success
453,翼,yi4,26,"Wing, as in the wing of a bird or airplane; can also mean flank or side in formal contexts.","Commonly seen in words like 机翼 (airplane wing), 左翼 (left wing), and 羽翼 (wings/feathers)",noun,success
454,腿,tui3,26,Leg; the limb used for standing and walking in humans and animals.,"Used for both human legs (人的腿) and animal legs (动物的腿), as well as the legs of furniture like tables and chairs",noun,success
455,英,ying1,26,"Means 'hero' or 'outstanding/brilliant'; most commonly used as a short form for England/English (英国, 英语).","Frequently seen in 英国 (England/UK), 英语 (English language), and 英雄 (hero)",noun/adjective,success
456,血,xue4,26,"Blood; the red liquid that flows through the body. Can also refer to bloodline, descent, or family relations.",Common in medical contexts (献血 donate blood) and expressions about family ties (血缘 blood relation),noun,success
457,角,jiao3,26,A corner or angle; also a unit of Chinese currency equal to one-tenth of a yuan (similar to a dime).,"Used in geometry (角度 'angle'), locations (角落 'corner'), and money (一角 'one jiao')",noun,success
458,赶,gan3,26,"To rush, hurry, or catch up with something or someone; also means to drive (animals) or to be in time for something.","Common in phrases like 赶时间 (rush for time), 赶车 (catch a bus/train), 赶快 (hurry up)",verb,success
459,队,dui4,26,"A team, group, or organized unit of people working together. Also used as a measure word for groups or lines of people.","Common in words like 球队 (sports team), 队伍 (队wǔ, team/troops), and 排队 (páiduì, to line up)",noun,success
460,主,zhu3,25,"Main, primary, or principal; also means host, owner, or master. Used to indicate the primary or most important element of something.","Common in words like 主人 (host/owner), 主要 (main/primary), and 主席 (chairman)",noun/adjective,success
461,卢,lu2,25,"A common Chinese surname (Lu). In classical Chinese, it also referred to a type of black color or a vessel.","Primarily used as a family name in modern Chinese, as in 卢浮宫 (Louvre Museum)",proper noun,success
462,受,shou4,25,"To receive, accept, or endure something; often used to indicate experiencing or suffering something (positive or negative).","Common in words like 接受 (to accept), 受伤 (to be injured), 感受 (to feel/experience)",verb,success
463,堆,dui1,25,"A pile, heap, or stack of things; can also be used as a verb meaning to pile up or heap together.","Common as a measure word for piles of objects, like 一堆书 (a pile of books) or 堆雪人 (to build a snowman)",noun/verb,success
464,孩,hai2,25,Child or young person. This character is rarely used alone and typically appears in compound words.,"Most commonly seen in 孩子 (háizi, child) and 小孩 (xiǎohái, small child/kid)",noun,success
465,安,an1,25,"Peaceful, calm, or safe; also means to install or settle. As an adjective, it describes a state of tranquility or security.","Common in words like 安全 (safety), 安静 (quiet), and 平安 (peace)",adjective/verb,success
466,帮,bang1,25,To help or assist someone with something. Can also mean a group or gang of people.,"Very common in everyday speech, as in 帮我 (help me) or 帮忙 (to help/lend a hand)",verb/noun,success
467,摇,yao2,25,"To shake, sway, or rock back and forth. Can refer to physical movement of objects or body parts.","Common in words like 摇头 (shake one's head), 摇晃 (sway/rock), and 摇篮 (cradle)",verb,success
468,活,huo2,25,"To live, to be alive; living or alive (as an adjective). Also means lively, flexible, or movable.","Common in words like 生活 (life/to live), 活动 (activity), and 活着 (to be alive)",verb/adjective,success
469,班,ban1,25,"A class, team, or group of people organized together; also refers to a scheduled shift or regular transport service.","Common in contexts like 上班 (go to work), 班级 (class at school), 飞机班次 (flight schedule)",noun,success
470,行,xing2,25,"Okay, alright, or acceptable; indicates that something will work or is permissible. Also means a row, line, or profession/trade.",Commonly used in spoken Chinese to express agreement (行！= OK!) or to ask if something is acceptable (行吗？= Is that okay?),verb/adjective/noun,success
471,镜,jing4,25,Mirror or lens; a reflective surface used to see one's reflection or an optical device that focuses light.,"Common in words like 镜子 (mirror), 眼镜 (eyeglasses), and 照镜子 (to look in a mirror)",noun,success
472,养,yang3,24,"To raise, keep, or support (animals, children, or plants); to nourish or cultivate.","Common in words like 养狗 (raise a dog), 养孩子 (raise children), 营养 (nutrition)",verb,success
473,厅,ting1,24,A hall or large room in a building; also used to refer to certain government departments or offices.,"Common in words like 餐厅 (restaurant/dining hall), 客厅 (living room), and 办公厅 (general office)",noun,success
474,命,ming4,24,"Life, fate, or destiny; also means to command or order. Most commonly refers to one's life span or predetermined fate in Chinese culture.","Found in words like 生命 (life), 命运 (fate/destiny), and 命令 (command/order)",noun/verb,success
475,咒,zhou4,24,A curse or spell; to curse or put a hex on someone. Can also refer to incantations or magic formulas used in religious or mystical contexts.,"Common in words like 诅咒 (curse), 咒语 (incantation/spell), 念咒 (chant a spell)",noun/verb,success
476,围,wei2,24,"To surround, encircle, or enclose something; to gather around.","Common in words like 周围 (zhōuwéi - surroundings), 围巾 (wéijīn - scarf, literally 'surround cloth'), and 包围 (bāowéi - to surround)",verb,success
477,差,cha4,24,"Poor, inferior, or not good enough; also means to lack or fall short of a certain amount or standard.","Common in expressions like 差不多 (almost, about the same) or 很差 (very poor/bad)",adjective/verb,success
478,弄,nong4,24,"To do, make, or handle something; to play with or fiddle with something. Often used colloquially to mean 'to get/obtain' or 'to cause/make happen'.","Common in everyday speech like 弄坏了 (broke it), 弄错了 (got it wrong), 你在弄什么? (What are you doing?)",verb,success
479,必,bi4,24,"Must, have to, or certainly; expresses necessity, obligation, or inevitability.","Commonly used in words like 必须 (must), 必要 (necessary), and 必然 (inevitable)",adverb,success
480,恶,e4,24,"Evil, bad, or wicked; refers to something morally wrong or harmful. Can also mean fierce or ferocious.","Common in words like 恶人 (evil person), 罪恶 (sin/crime), 凶恶 (fierce)",adjective/noun,success
481,毛,mao2,24,Hair or fur on the body of humans or animals; also refers to feathers on birds. Additionally used as a unit of currency meaning one-tenth of a yuan (10 cents).,"Common in words like 毛衣 (sweater, literally 'wool clothing') and 羽毛 (feather)",noun,success
482,界,jie4,24,"Boundary, border, or realm; commonly used to refer to different fields, circles, or worlds of activity.","Frequently appears in compounds like 世界 (world), 界限 (boundary), 科学界 (scientific community), 各界 (all walks of life)",noun,success
483,箱,xiang1,24,"A box, case, chest, or trunk used for storing or transporting items. Commonly refers to containers like suitcases, crates, or compartments.","Found in words like 箱子 (xiāngzi - box), 冰箱 (bīngxiāng - refrigerator), 邮箱 (yóuxiāng - mailbox)",noun,success
484,雷,lei2,24,Thunder or thunderstorm; the loud sound produced during a storm when lightning occurs.,Common in weather-related expressions like 打雷 (thunder strikes) and compound words like 雷雨 (thunderstorm),noun,success
485,颤,chan4,24,"To tremble, shake, or shiver, typically due to cold, fear, or emotion.",Commonly used in words like 颤抖 (chàndǒu - to shiver/tremble) and 发颤 (fāchàn - to shake),verb,success
486,麦,mai4,24,"Wheat or general grain crops; refers to cereal plants, especially wheat and barley.","Common in words like 小麦 (wheat), 麦片 (oatmeal), and 麦当劳 (McDonald's)",noun,success
487,乔,qiao2,23,Tall or lofty; also means to disguise or pretend. Most commonly encountered as a surname (Qiao) or in compound words.,Frequently used in names like 乔木 (tall tree) or the surname 乔,adjective/verb,success
488,写,xie3,23,"To write or compose text, characters, or other written content. Can refer to writing by hand, typing, or creating written works like letters, essays, or books.","Common in phrases like 写字 (write characters), 写信 (write a letter), 写作业 (do homework/write assignments)",verb,success
489,包,bao1,23,"To wrap or包age something; also means a bag, bundle, or包aged item. As a verb, it can mean to包ver, surround, or include everything.","Common in words like 书包 (schoolbag), 包子 (steamed bun), and 包括 (to include)",noun/verb,success
490,卡,ka3,23,"To get stuck or wedged in something; also means 'card' (like credit card, ID card). As a verb, it describes something being jammed or blocked in a tight space.","Common in 卡住 (stuck), 信用卡 (credit card), 卡片 (card)",verb/noun,success
491,参,can1,23,To participate in or take part in an activity or event; to join or attend.,Commonly used in words like 参加 (cānjiā - to participate) and 参观 (cānguān - to visit/tour),verb,success
492,图,tu2,23,"Picture, diagram, map, or chart; any visual representation or illustration. Also means to plan or seek something.","Common in words like 地图 (map), 图书馆 (library), 图片 (picture/image)",noun/verb,success
493,急,ji2,23,"Urgent, anxious, or in a hurry; describes situations requiring immediate attention or a state of worry and impatience.","Common in phrases like 着急 (worried/anxious), 急事 (urgent matter), 紧急 (emergency)",adjective/verb,success
494,波,bo1,23,"Wave or ripple, referring to the undulating movement of water or similar motion. Also used metaphorically for waves of events, trends, or influences.","Common in words like 波浪 (waves), 风波 (disturbance), and 波动 (fluctuation)",noun,success
495,洛,luo4,23,"A character primarily used in place names and proper nouns, most commonly seen in 洛阳 (Luòyáng), an ancient Chinese city.","Rarely used alone; appears in geographical names like 洛杉矶 (Luòshānjī, Los Angeles) and historical references",proper noun,success
496,留,liu2,23,"To stay, remain, or keep; also means to leave behind or retain something for later use.","Common in phrases like 留学 (study abroad), 保留 (preserve/keep), and 留下 (leave behind/stay)",verb,success
497,识,shi2,23,"To know, to recognize, or to be acquainted with someone or something. Also means knowledge or awareness.","Common in words like 认识 (to know/recognize), 知识 (knowledge), and 常识 (common sense)",verb/noun,success
498,魂,hun2,23,"Soul or spirit; the spiritual or immaterial part of a person, often contrasted with the physical body.","Common in expressions like 灵魂 (línghún - soul), 魂魄 (húnpò - soul and spirit), and idioms about being scared or losing one's composure",noun,success
499,乱,luan4,22,"Chaotic, messy, or in disorder; can also mean to confuse or mix up things randomly.",Common in phrases like 乱七八糟 (very messy) or 别乱说 (don't talk nonsense),adjective/verb,success
500,今,jin1,22,"Means 'now' or 'the present'; refers to the current time period including today, this year, or modern times.","Commonly used in words like 今天 (today), 今年 (this year), and 古今 (ancient and modern)",noun/time word,success
501,吓,xia4,22,"To scare, frighten, or startle someone. Often used to describe causing fear or alarm in others.","Common in phrases like 吓人 (scary), 吓一跳 (to give someone a fright)",verb,success
502,塔,ta3,22,"A tower or pagoda, typically referring to tall structures used for religious, commemorative, or architectural purposes.","Common in words like 宝塔 (pagoda), 铁塔 (iron tower), 灯塔 (lighthouse), and 埃菲尔铁塔 (Eiffel Tower)",noun,success
503,封,feng1,22,"To seal, close, or block something; also used as a measure word for letters and sealed items",Common in words like 封信 (a letter) and 封闭 (to seal/close),verb/measure word,success
504,怀,huai2,22,"To hold in one's arms or embrace; to cherish or keep in one's heart/mind (feelings, thoughts, or memories)","Common in words like 怀念 (to miss/cherish memories), 怀孕 (to be pregnant), and 胸怀 (mind/heart)",verb,success
505,文,wen2,22,"Writing, text, or language; also refers to culture, literature, or civilian matters (as opposed to military). A fundamental character often used in compound words related to written communication and cultural concepts.","Common in words like 中文 (Chinese language), 文化 (culture), 文章 (article/essay)",noun,success
506,日,ri4,22,Sun or day; refers to the celestial body or a 24-hour period of time,"Common in words like 今日 (today), 明日 (tomorrow), 生日 (birthday), and 日本 (Japan, literally 'sun origin')",noun,success
507,治,zhi4,22,"To govern, rule, or manage; also means to treat or cure (an illness).","Common in words like 政治 (politics), 治疗 (to treat/cure), and 治理 (to govern/manage)",verb,success
508,粗,cu1,22,"Thick, coarse, or rough in texture or quality; the opposite of fine or thin. Can describe physical objects, materials, or behavior that is crude or unrefined.","Common in phrases like 粗心 (careless), 粗糙 (rough/coarse), 粗线 (thick line)",adjective,success
509,细,xi4,22,"Fine, thin, or slender in physical size; also means detailed, careful, or meticulous when describing actions or observations.","Common in words like 细心 (careful), 仔细 (attentive), and 细节 (details)",adjective,success
510,语,yu3,22,Language or speech; refers to a system of communication or words spoken.,"Commonly seen in words like 汉语 (Chinese language), 英语 (English language), and 语言 (language)",noun,success
511,越,yue4,22,"Used to indicate 'the more...the more...' in comparative constructions, or to mean 'to exceed/surpass' or 'to cross over'","Most commonly seen in the pattern 越...越... (the more...the more...), as in 越来越好 (getting better and better)",adverb/verb,success
512,跑,pao3,22,To run or to move quickly on foot. Also used to mean 'to escape' or 'to run away' in certain contexts.,Common in everyday expressions like 跑步 (to jog/run) and 快跑 (run quickly),verb,success
513,须,xu1,22,Must or have to; indicates necessity or obligation. Also means beard or whiskers as a noun.,Commonly seen in formal written Chinese like 必须 (must) and 须知 (things one should know),auxiliary verb/noun,success
514,题,ti2,22,"Question, problem, or topic. Commonly refers to test questions, homework problems, or subjects for discussion.","Found in words like 问题 (question/problem), 题目 (question/title), and 考题 (exam question)",noun,success
515,伸,shen1,21,"To stretch out, extend, or straighten (a body part or object). Commonly used for physical actions like reaching out one's hand or stretching one's body.","Found in words like 伸手 (stretch out one's hand), 伸腰 (stretch one's back), and 伸展 (stretch/extend)",verb,success
516,体,ti3,21,"Body or physical form; also refers to a style, system, or form of something (like a writing style or political system).","Common in words like 身体 (shēntǐ - body/health), 具体 (jùtǐ - concrete/specific), 体育 (tǐyù - physical education/sports)",noun,success
517,兽,shou4,21,"Beast or wild animal; refers to four-legged mammals, especially those that are wild or untamed.","Common in words like 野兽 (wild beast), 猛兽 (fierce animal), and 禽兽 (birds and beasts)",noun,success
518,准,zhun3,21,"Accurate, precise, or standard; also means to allow or permit. As an adjective, it describes something that is exact or on target.","Common in words like 准备 (to prepare), 准时 (on time), 标准 (standard), and 批准 (to approve)",adjective/verb,success
519,合,he2,21,"To combine, join together, or fit; also means suitable or in accordance with something.","Common in words like 合作 (cooperate), 结合 (combine), 合适 (suitable)",verb/adjective,success
520,夜,ye4,21,"Night or nighttime, referring to the period of darkness between sunset and sunrise.","Common in words like 夜晚 (night), 今夜 (tonight), and 半夜 (midnight)",noun,success
521,廊,lang2,21,"A corridor, hallway, or covered walkway, typically found in traditional Chinese architecture connecting different parts of a building or garden.",Common in words like 走廊 (hallway) and 画廊 (art gallery),noun,success
