Order Number,Pinyin,Correct_Character,Frequency,Definition,Usage,Part_of_Speech,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Correct_Choice
315,shuang1,双,41,"Means 'pair' or 'double'; used as a measure word for things that come in pairs like shoes, chopsticks, or hands.",Common in phrases like 一双鞋 (a pair of shoes) or 双手 (both hands),measure word/adjective,趟,吗,陋,双,超,D
316,ling4,另,41,"Means 'other' or 'another', indicating something different or separate from what has been mentioned.","Commonly used in phrases like 另外 (in addition), 另一个 (another one), or 另一方面 (on the other hand)",adjective,书,闹,鱼,飘,另,E
317,ru2,如,41,"Means 'like', 'as', or 'according to', used to make comparisons or indicate similarity between things.","Common in phrases like 如果 (if), 例如 (for example), and 如此 (like this/such)",verb/conjunction,丰,伞,肯,侮,如,E
318,guo3,果,41,"Fruit; also means result or outcome. As a suffix, it appears in words for specific fruits like 苹果 (apple) and 水果 (fruit).",Commonly used in compound words related to fruits and results,noun,健,瞪,果,偶,勃,C
319,ji2,级,41,"Grade, level, or rank in a hierarchical system. Used to indicate classification, stages, or degrees of something.","Common in contexts like school grades (年级), difficulty levels (初级, 中级, 高级), and rankings (一级, 二级)",noun/measure word,级,剜,切,刊,土,A
320,shang1,伤,40,To injure or hurt (physically or emotionally); an injury or wound.,"Common in words like 受伤 (to be injured), 伤心 (sad/heartbroken), 伤口 (wound)",verb/noun,宽,哗,树,匈,伤,E
321,lao2,劳,40,To toil or work hard; labor or effort. Also used as a polite expression meaning 'to trouble' or 'to bother' someone.,"Common in phrases like 劳驾 (excuse me, may I trouble you) and 辛劳 (hard work/toil)",verb/noun,境,哗,因,劳,惩,D
322,bing4,并,40,"An adverb meaning 'actually (not)' or 'in fact (not)', used to emphasize negation or contrast with expectations. Also means 'and' or 'together' when used as a conjunction.",Most commonly seen in negative sentences like 并不 (actually not) or 并没有 (in fact did not),adverb/conjunction,坦,并,揪,帚,崽,B
323,wang3,往,40,"Indicates direction or movement toward a place or direction, meaning 'to' or 'toward'.",Commonly used before verbs of motion like 往前走 (go forward) or 往北 (toward the north),preposition,往,悴,棱,奴,旁,A
324,zhu4,注,40,To pour or concentrate; to focus attention on something or to make a note/annotation.,Commonly seen in words like 注意 (zhùyì - to pay attention) and 注册 (zhùcè - to register),verb,崭,魁,挪,液,注,E
325,qiu2,球,40,Ball or sphere; any round object used in sports or games,"Common in sports terms like 足球 (soccer), 篮球 (basketball), 网球 (tennis)",noun,忡,改,球,喘,狭,C
326,er3,耳,40,Ear; the organ used for hearing. Also appears as a radical in characters related to hearing or the ear.,"Common in words like 耳朵 (ear), 耳机 (earphones/headphones)",noun,碑,伏,横,愣,耳,E
327,yin1,因,39,Means 'because' or 'cause/reason'. Most commonly used in the compound word 因为 (yīnwèi) meaning 'because'.,Often appears in cause-and-effect sentences like 因为...所以... (because...therefore...),preposition/noun,羞,因,浆,衣,拎,B
328,bei1,杯,39,A cup or glass used for drinking; also serves as a measure word for beverages.,Used in phrases like 一杯水 (a cup of water) or 茶杯 (teacup),noun/measure word,怕,苗,熄,揪,杯,E
329,shen2,神,39,"God, deity, or spirit; can also mean magical, mystical, or supernatural. Additionally used to describe someone's mental state or expression.","Common in words like 神话 (mythology), 精神 (spirit/mind), and 神奇 (magical)",noun/adjective,神,诱,晶,瑰,深,A
330,yuan4,院,39,"A courtyard or enclosed area; also refers to institutions like hospitals, colleges, or government departments.","Common in words like 医院 (hospital), 学院 (college), 法院 (court)",noun,梢,祟,辛,底,院,E
331,ju3,举,38,"To lift, raise, or hold up; also means to cite or give an example.","Common in words like 举手 (raise one's hand), 举行 (hold/conduct an event), and 举例 (give an example)",verb,绒,防,雀,举,汁,D
332,qin1,亲,38,"Close, intimate, or related by blood; can also mean to kiss or to do something personally.","Common in words like 父亲 (father), 母亲 (mother), 亲人 (relatives), and 亲自 (personally)",adjective/verb,呼,了,浪,胆,亲,E
333,xi3,喜,38,"To like, to be fond of, or to be happy/delighted about something. Also means joy, happiness, or good news (especially relating to weddings and celebrations).","Common in words like 喜欢 (to like), 喜事 (happy occasion), and 欢喜 (happy)",verb/noun,薄,喜,难,把,潮,B
334,zhou3,帚,38,A broom or brush used for sweeping. This character is often seen in compound words related to cleaning.,"Commonly appears in words like 扫帚 (sǎozhou, broom)",noun,牛,始,见,诱,帚,E
335,wu2,无,38,"Means 'without', 'not have', or 'lacking'. It is the opposite of 有 (yǒu, to have) and is used to indicate absence or negation.","Common in phrases like 无聊 (bored, literally 'without interest') and 无法 (unable to, cannot)",verb/prefix,天,皮,无,蹑,甸,C
336,man3,满,38,Full or filled to capacity; can also mean satisfied or to reach a certain amount or time period.,"Common in expressions like 满了 (it's full), 不满 (dissatisfied), or 满18岁 (to reach 18 years old)",adjective/verb,满,瞟,铁,实,意,A
337,zhang1,章,38,"Chapter or section of a book or document; also means seal, stamp, or badge.","Common in 第一章 (chapter one), 文章 (article/essay), 印章 (seal/stamp)",noun,章,睡,馅,窄,口,A
338,che1,车,38,"Vehicle or car; any wheeled mode of transportation including bicycles, cars, trains, and carts.","Common in words like 汽车 (car), 火车 (train), 自行车 (bicycle)",noun,绒,及,太,车,一,D
339,si4,四,37,The number four. It is one of the basic counting numbers in Mandarin Chinese.,"Used in counting, dates, addresses, and mathematical expressions like 四个人 (four people)",number,先,肌,翼,里,四,E
340,ying1,应,37,"Should, ought to; to respond or answer to something. Also means to agree to or comply with a request.",Common in words like 应该 (yīnggāi - should) and 反应 (fǎnyìng - reaction/response),verb/auxiliary verb,过,主,腐,应,别,D
341,pang2,旁,37,"Side, beside, or next to something; indicates a position adjacent to or near a reference point.",Commonly used in words like 旁边 (beside/next to) and 路旁 (roadside),noun/localizer,从,营,死,摇,旁,E
342,lin2,林,37,Forest or grove; a dense collection of trees. Also commonly used as a surname (Lin).,Found in words like 森林 (forest) and 树林 (woods); very common as a family name,noun,裁,还,林,命,桌,C
343,ma2,麻,37,Hemp or flax (the plant/fiber); also means numb or tingly (as a physical sensation).,"Common in words like 麻烦 (trouble/bothersome), 芝麻 (sesame), and 麻木 (numb)",noun/adjective,豆,夫,样,麻,毛,D
344,wei4,位,36,"A polite measure word (classifier) used for counting people, especially in formal contexts; also means 'position' or 'place' as a noun.",Used in phrases like 这位老师 (this teacher) or 三位客人 (three guests),measure word / noun,写,踢,离,位,被,D
345,tai2,台,36,"A measure word for machines, equipment, and performances; also means platform, stage, or table. Commonly used as a short form for Taiwan (台湾).","Used in phrases like 一台电脑 (one computer), 舞台 (stage), or 台北 (Taipei)",measure word/noun,长,其,洛,台,迈,D
346,luo4,落,36,"To fall, drop, or descend; can refer to physical falling (like leaves or rain) or abstract decline (like falling behind).","Common in words like 落下 (to fall down), 降落 (to land), 落后 (to lag behind)",verb,塔,球,落,诉,锃,C
347,xu1,需,36,To need or require something; to be necessary or essential.,"Most commonly seen in compounds like 需要 (xūyào, to need) and 必需 (bìxū, essential/necessary)",verb,心,细,魁,需,雕,D
348,kui2,魁,36,"Chief, leader, or first place; describes something big, tall, or outstanding in size or importance.","Commonly seen in words like 魁梧 (tall and sturdy), 夺魁 (win first place), or 罪魁祸首 (chief culprit)",noun/adjective,亮,常,体,魁,鸣,D
349,xi1,息,35,"Breath or rest; also refers to interest (on money) or news/information. Most commonly seen in compound words related to breathing, resting, or息 息相关 (closely related).","Common in words like 休息 (to rest), 利息 (interest), 消息 (news), and 气息 (breath)",noun/verb,概,他,息,红,叫,C
350,tai2,抬,35,"To lift or raise something, typically with effort or by multiple people working together. Can also mean to raise one's head or eyes to look up.","Common in phrases like 抬头 (raise one's head), 抬起 (lift up), or 抬桌子 (carry a table)",verb,公,抬,们,姆,买,B
351,la1,拉,35,"To pull, drag, or draw something toward oneself or in a particular direction. Can also mean to play (a stringed instrument) or to transport.","Common in phrases like 拉手 (hold hands), 拉小提琴 (play violin), 拉车 (pull a cart)",verb,堡,本,拉,窗,把,C
352,ti2,提,35,"To lift, raise, or carry something (usually with a handle); to mention or bring up a topic in conversation.","Common in words like 提高 (to improve/raise), 提问 (to ask a question), 提供 (to provide)",verb,胳,提,堆,弗,会,B
353,zhong1,钟,35,A clock or bell; also used as a measure word for time duration in hours.,"Common in expressions like 闹钟 (alarm clock), 钟头 (hour), and 一点钟 (one o'clock)",noun,谁,钟,麦,副,下,B
354,leng3,冷,34,Cold or cool in temperature; can also describe a person or atmosphere as unfriendly or indifferent.,"Used to describe weather (天气很冷 - the weather is cold), food/drinks (冷水 - cold water), or emotions (冷淡 - indifferent)",adjective,很,细,护,清,冷,E
355,chuan3,喘,34,"To pant, gasp, or breathe heavily, especially when out of breath from exertion or illness.",Common in expressions like 喘气 (to catch one's breath) and 气喘 (asthma),verb,喘,决,仔,鹰,还,A
356,kuai4,块,34,"A measure word for pieces, chunks, or blocks of something; also the informal word for the Chinese currency yuan (dollar)","Used with objects like 一块钱 (one yuan), 一块蛋糕 (a piece of cake), or 一块石头 (a block of stone)",measure word / noun,戴,块,重,身,屋,B
357,hai4,害,34,"To harm, injure, or cause damage to someone or something; can also mean to kill or murder in certain contexts.","Commonly used in words like 害怕 (to be afraid), 伤害 (to hurt/harm), and 害虫 (pest/harmful insect)",verb,达,它,害,球,蛇,C
358,ling2,灵,34,"Spirit, soul, or supernatural being; also means quick, nimble, or effective when describing responsiveness.","Common in words like 灵魂 (soul), 精灵 (spirit/elf), 灵活 (flexible/agile), and 灵验 (effective/efficacious)",noun/adjective,前,座,鲁,林,灵,E
359,gua1,瓜,34,Melon or gourd; refers to various types of melons and gourd-like fruits and vegetables.,"Common in words like 西瓜 (watermelon), 黄瓜 (cucumber), 南瓜 (pumpkin)",noun,味,兆,疯,给,瓜,E
360,hua1,花,34,Flower or blossom; can also mean to spend (money or time) when used as a verb.,As a noun in 鲜花 (fresh flowers); as a verb in 花钱 (spend money),noun/verb,怕,除,花,睛,咬,C
361,shi4,视,34,"To look at, to view, or to regard/consider something in a certain way. Often used in formal or written contexts.","Common in compounds like 电视 (television), 视为 (regard as), and 重视 (attach importance to)",verb,视,趣,信,术,愤,A
362,fu2,伏,33,To lie down flat or prostrate oneself; to hide or ambush. Also means to submit or yield to someone or something.,"Common in words like 伏击 (ambush), 起伏 (rise and fall), and 伏天 (dog days of summer)",verb,课,答,禁,伏,阵,D
363,ting2,停,33,"To stop, halt, or cease movement or activity; to park (a vehicle).",Common in phrases like 停车 (to park a car) and 停止 (to stop/cease),verb,隐,份,经,忙,停,E
364,tang2,堂,33,"A hall or large room, especially for formal gatherings or ceremonies; also used as a measure word for classes or lessons.","Common in words like 课堂 (classroom), 食堂 (dining hall), and 一堂课 (one class session)",noun/measure word,呀,拍,校,堂,休,D
365,shi1,失,33,"To lose or to miss; to fail to keep, maintain, or achieve something.","Common in words like 失败 (to fail), 失去 (to lose), 失望 (disappointed)",verb,卢,飞,漆,失,立,D
366,wan3,晚,33,Late or evening; refers to the latter part of the day or something happening after the expected time.,"Common in words like 晚上 (evening), 晚饭 (dinner), and 晚了 (it's late)",adjective/noun,晚,弄,每,击,取,A
367,qi1,期,33,"A period of time or scheduled date; commonly used to indicate stages, terms, or expected times.","Found in words like 星期 (week), 学期 (semester), 日期 (date), and 期待 (to expect)",noun,洛,寻,胡,名,期,E
368,er2,而,33,"A conjunction meaning 'and', 'but', or 'yet' that connects clauses or phrases, often showing contrast or sequence. More formal and literary than 和 (hé).","Common in written Chinese and formal speech, as in 美而便宜 (beautiful and cheap) or 简单而有效 (simple yet effective)",conjunction,跑,而,步,摔,控,B
369,yi1,衣,33,"Clothing, garments, or clothes in general. This character refers to items worn on the body.","Often appears in compound words like 衣服 (yīfu, clothes) and 毛衣 (máoyī, sweater)",noun,与,讶,衣,续,吧,C
370,jing4,静,33,"Quiet, calm, or still; describes an absence of noise or movement.",Common in words like 安静 (quiet/peaceful) and 冷静 (calm/composed),adjective,袋,路,静,寂,趣,C
371,liang4,亮,32,"Bright or light; describes something that emits or reflects light well, or is clear and shining.","Common in phrases like 明亮 (bright), 灯亮了 (the light is on), or 月亮 (moon)",adjective,该,爵,亮,连,尽,C
372,chuan2,传,32,"To pass, transmit, or spread something from one person or place to another; to convey information, objects, or traditions.","Common in words like 传统 (tradition), 传播 (to spread/disseminate), and 传递 (to pass on)",verb,传,闷,送,谁,投,A
373,bao3,保,32,"To protect, keep, or maintain something in its current state; to guarantee or ensure safety.","Common in words like 保护 (protect), 保持 (maintain), 保证 (guarantee), and 环保 (environmental protection)",verb,保,妙,药,脚,由,A
374,wan2,完,32,"To finish, complete, or run out of something. Often used as a complement after verbs to indicate completion of an action.","Common in phrases like 做完 (finish doing), 吃完 (finish eating), or 完了 (it's over/finished)",verb,禁,离,缝,猎,完,E
375,dai4,待,32,To treat or deal with someone in a certain way; to wait or stay. Also means treatment or hospitality shown to someone.,"Common in words like 对待 (to treat), 待遇 (treatment/benefits), and 等待 (to wait)",verb,待,许,便,暗,鼓,A
376,pa4,怕,32,To be afraid of or to fear something; to worry that something bad might happen.,Common in expressions like 我怕狗 (I'm afraid of dogs) or 别怕 (don't be afraid),verb,库,怕,复,候,哝,B
377,yuan4,愿,32,"To be willing, to wish, or to hope for something; expresses desire or willingness to do something.",Common in phrases like 我愿意 (I'm willing) and 祝愿 (to wish someone well),verb,考,膀,愿,照,迪,C
378,mao1,猫,32,Cat; a common domestic animal kept as a pet or for catching mice.,"Used in words like 猫咪 (kitty) and 熊猫 (panda, literally 'bear cat')",noun,羽,充,往,扑,猫,E
379,zhi1,之,31,"Classical Chinese possessive or attributive particle, equivalent to 的 in modern Chinese. Also used to mean 'to go to' in literary contexts.","Mainly found in formal writing, idioms, and classical expressions like 总之 (in summary) or place names",particle,之,弯,额,帚,置,A
380,ju4,句,31,A measure word for sentences or lines of text; also means 'sentence' as a noun.,Used in phrases like 一句话 (one sentence) or 两句诗 (two lines of poetry),measure word/noun,台,品,句,猪,忙,C
381,chou1,抽,31,"To pull out, draw out, or extract something from a larger group or container; also means to smoke (a cigarette) or to take time from a busy schedule.","Common in phrases like 抽烟 (to smoke), 抽签 (to draw lots), 抽时间 (to find/make time)",verb,块,岁,额,选,抽,E
382,shu4,树,31,A tree; a woody plant with a trunk and branches.,"Common in words like 树木 (trees), 果树 (fruit tree), 大树 (big tree)",noun,搞,期,愉,树,唇,D
383,shen1,深,31,"Deep or profound, describing physical depth (like water or holes) or abstract depth (like knowledge, feelings, or colors).","Common in words like 深夜 (late night), 深色 (dark color), 深刻 (profound)",adjective,猫,索,滥,深,折,D
384,jian3,简,31,"Simple, brief, or uncomplicated. Often used to describe things that are easy to understand or not complex.","Common in words like 简单 (simple), 简历 (resume/CV), and 简体字 (simplified characters)",adjective,简,画,半,绿,升,A
385,jin4,近,31,Near or close in distance or time; can also mean recent or intimate.,"Used in words like 最近 (recently), 附近 (nearby), 接近 (to approach)",adjective/verb,详,顺,近,炸,倒,C
386,yuan3,远,31,Far or distant in space or time; the opposite of near (近).,Used to describe physical distance (很远 - very far) or relationships (远亲 - distant relative),adjective,远,酒,劲,号,难,A
387,ding3,顶,31,"Top, peak, or summit of something; also used as a measure word for things with tops like hats or sedan chairs",Common in words like 山顶 (mountain top) and as a measure word in 一顶帽子 (one hat),noun/measure word,顶,引,嘶,曼,总,A
388,ling4,令,30,"To cause, to make, or to order/command someone to do something. Also used as a formal word for 'order' or 'decree'.","Commonly seen in compounds like 命令 (command), 令人 (to make people feel), and 口令 (password/command)",verb,模,令,沫,船,巨,B
389,ban4,半,30,Half or semi-; indicates one of two equal parts or an incomplete amount of something.,"Common in time expressions like 半天 (half a day), 一半 (one half), and 半夜 (midnight)",number/adjective,半,厚,社,病,休,A
390,di3,底,30,"Bottom, base, or foundation of something; the lowest part or end of an object or place.","Common in words like 底下 (below/underneath), 海底 (seabed), 到底 (after all/in the end)",noun,街,断,英,底,蠢,D
391,yu4,御,30,"To resist, defend against, or ward off; also means imperial or related to the emperor in classical contexts.","Common in words like 防御 (defense), 抵御 (to resist), and historical terms like 御用 (for imperial use)",verb,首,御,透,帮,究,B
392,zao3,早,30,Early or morning; describes something happening in the early part of the day or before the expected time.,Commonly used in greetings like 早上好 (good morning) or to describe arriving early,adjective/noun,凭,踪,厢,早,差,D
393,shu4,术,30,"Method, technique, or skill; often refers to a specialized art, craft, or systematic approach to doing something.","Commonly used in compound words like 技术 (technology), 美术 (fine arts), 手术 (surgery), and 武术 (martial arts)",noun,写,控,术,嘀,咆,C
394,hong2,红,30,"The color red; also means popular, successful, or revolutionary in certain contexts.","Used to describe red objects like 红色 (red color), 红花 (red flower), or popularity as in 走红 (become popular/famous)",adjective,乱,红,段,帷,扎,B
395,biao3,表,30,"A table, form, or chart used to display information; also means a watch or meter for measuring time or quantities.","Common in words like 手表 (wristwatch), 表格 (form/table), and 时间表 (timetable)",noun,语,表,电,按,瓶,B
396,tong1,通,30,"To go through, connect, or lead to; to be open or unobstructed. Also means to communicate or understand thoroughly.","Common in words like 交通 (traffic), 通过 (to pass through), and 普通 (ordinary/common)",verb/adjective,船,通,震,廊,歪,B
397,fang2,防,30,"To defend, guard against, or prevent something from happening. Commonly used to describe protective measures or prevention of unwanted situations.","Found in words like 预防 (prevent), 防止 (prevent/guard against), 国防 (national defense)",verb,领,咯,防,磨,仔,C
398,gui3,鬼,30,"Ghost, spirit, or demon; a supernatural being in Chinese folklore and culture. Also used informally to describe someone who is sneaky or crafty.",Common in expressions like 小鬼 (little devil/kid) or 鬼故事 (ghost story),noun,茸,疑,据,入,鬼,E
399,er4,二,29,The number two; the second in a sequence or order.,"Used in counting, dates, and ordinal expressions like 第二 (the second)",number,哼,蹬,胸,够,二,E
400,dao4,倒,29,"To fall down, collapse, or topple over; also means to pour (liquid) or to move backwards.","Common in phrases like 倒水 (pour water), 摔倒 (fall down), 倒车 (reverse a car)",verb,决,阶,倒,髅,弩,C
401,gong4,共,29,"Together, in total, or altogether; indicates a sum or collective amount.","Commonly used in phrases like 一共 (yígòng - altogether) to express totals, as in 一共十块钱 (altogether 10 yuan)",adverb,共,偶,坩,绝,昏,A
402,ke4,刻,29,"A quarter of an hour (15 minutes); also means to carve, engrave, or cut into a surface.","Most commonly used in telling time, like 三点一刻 (3:15) or 差一刻四点 (3:45). As a verb, used for carving or engraving.",noun/verb,匹,刻,溜,持,拐,B
403,you3,友,29,Friend or friendship. This character represents a companion or someone you have a friendly relationship with.,"Commonly seen in words like 朋友 (péngyou - friend), 友好 (yǒuhǎo - friendly), and 友谊 (yǒuyì - friendship)",noun,狠,友,猪,埃,醒,B
404,hu1,呼,29,"To exhale, breathe out, or call out loudly; also means to shout or yell someone's name.","Common in words like 呼吸 (to breathe), 呼叫 (to call out), and 欢呼 (to cheer)",verb,呼,肖,蜘,摆,康,A
405,dou3,抖,29,"To shake, tremble, or shiver; to vibrate or quiver suddenly or repeatedly.","Commonly used to describe physical shaking from cold (发抖), trembling from fear, or shaking something to remove dust",verb,侧,鼻,抖,或,议,C
406,xin1,新,29,"New, fresh, or recent; the opposite of old (旧). Used to describe things that have just been made, acquired, or are modern.","Common in words like 新年 (New Year), 新闻 (news), 新鲜 (fresh)",adjective,新,释,播,圈,暗,A
407,ti1,梯,29,Ladder or stairs; a structure with steps used for climbing up or down.,"Commonly seen in words like 楼梯 (staircase), 电梯 (elevator), and 梯子 (ladder)",noun,檬,偷,扯,击,梯,E
408,wan2,玩,29,"To play, have fun, or enjoy oneself; can also mean to play with something or visit a place for leisure.","Common in phrases like 玩游戏 (play games), 玩具 (toy), or 去北京玩 (go to Beijing for fun)",verb,吁,担,滞,求,玩,E
409,guan3,管,29,"To manage, control, or be in charge of something; also means a tube or pipe as a noun.","Common in phrases like 管理 (to manage), 不管 (no matter/regardless), and 管子 (pipe/tube)",verb/noun,胖,琢,喷,管,缓,D
410,zhen4,阵,29,"A measure word for short bursts or spells of something, like wind, rain, or sound. Also means battle formation or position in military contexts.",Common in phrases like 一阵风 (a gust of wind) or 一阵雨 (a spell of rain),measure word / noun,阵,穴,客,躬,度,A
411,nan2,难,29,Difficult or hard; not easy to do or understand. Can also mean unpleasant or bad when describing situations.,"Common in phrases like 很难 (very difficult), 难过 (sad/upset), 困难 (difficulty)",adjective,旋,支,难,印,肋,C
412,shi4,世,28,"World, generation, or era. Refers to the human world, society, or a period of time spanning approximately 30 years.","Common in words like 世界 (world), 世纪 (century), and 一生一世 (one's whole life)",noun,营,流,糟,世,姐,D
413,nong2,农,28,Agriculture or farming; also refers to a farmer or peasant.,"Commonly seen in words like 农民 (farmer), 农业 (agriculture), and 农村 (rural area/countryside)",noun,貌,拥,农,呆,瓶,C
414,han3,喊,28,"To shout, yell, or call out loudly. Used when someone raises their voice to get attention or express strong emotion.",Common in phrases like 大声喊 (shout loudly) or 喊名字 (call someone's name),verb,膝,浅,逗,喊,照,D
415,sai1,塞,28,"To stuff, fill, or block something; to squeeze or cram into a space",Common in expressions like 塞车 (traffic jam) or 塞满 (to stuff full),verb,塞,馅,适,银,砸,A
416,qiang2,墙,28,"A wall, typically referring to the vertical structure that forms the side of a building or encloses an area.","Common in phrases like 墙壁 (wall), 长城 (Great Wall), and 撞墙 (hit a wall)",noun,着,墙,哭,鼓,肚,B
417,mu3,姆,28,"A character primarily used in transliterations of foreign words and names, most commonly seen in 姆妈 (māma, nanny/nursemaid) or foreign place names.","Frequently appears in words like 保姆 (bǎomǔ, nanny/housekeeper) and transliterations such as 斯德哥尔姆 (Stockholm)",noun,大,姆,报,凰,跪,B
418,shi3,始,28,To begin or start; the beginning or origin of something.,Commonly seen in words like 开始 (kāishǐ - to start) and 始终 (shǐzhōng - from beginning to end),verb/noun,鸟,喃,始,起,烈,C
419,ni2,尼,28,"A character primarily used in transliterations of foreign words and names, most commonly seen in Buddhist terms. Also means 'nun' in Buddhist context.","Common in words like 尼姑 (Buddhist nun), 尼泊尔 (Nepal), and 肯尼亚 (Kenya)",noun/transliteration,钻,左,然,尼,冠,D
420,gong1,工,28,"Work, labor, or worker; also refers to engineering or industry. One of the most fundamental characters related to employment and construction.","Common in words like 工作 (work/job), 工人 (worker), and 工程 (engineering/project)",noun,承,克,取,工,否,D
421,qiang2,强,28,"Strong, powerful, or better than others. Can describe physical strength, ability, or intensity.","Common in words like 强大 (powerful), 坚强 (strong-willed), and comparisons like 比...强 (better than...)",adjective,回,妹,晨,模,强,E
422,zong3,总,28,"Always, invariably; also means 'total' or 'overall'. Used as an adverb to indicate something happens consistently or as an adjective for totals and general situations.","Common in phrases like 总是 (always), 总共 (altogether), 总统 (president)",adverb/adjective,幕,纪,邓,瞧,总,E
423,yue4,月,28,Moon; also means month in the calendar sense.,"Used in time expressions like 一月 (January), 三个月 (three months), and phrases like 月亮 (moon)",noun,披,舒,月,校,酒,C
424,fan2,烦,28,"To be annoyed, irritated, or troubled; to feel vexed or bothered by something or someone.","Commonly used in expressions like 烦人 (annoying), 烦恼 (worried/troubled), or 别烦我 (don't bother me)",adjective/verb,扔,烦,目,轮,族,B
425,pi2,皮,28,"Skin, leather, or outer covering/peel of something. Also means naughty or mischievous when describing behavior.","Common in words like 皮肤 (skin), 皮鞋 (leather shoes), 果皮 (fruit peel), and 顽皮 (naughty)",noun/adjective,灰,金,皮,闯,滚,C
426,bu4,部,28,"A measure word for books, films, machines, and vehicles; also means 'part', 'section', or 'department'","Used in phrases like 一部电影 (one film), 部分 (part/portion), or 外交部 (Ministry of Foreign Affairs)",measure word/noun,磨,兜,统,物,部,E
427,yin3,隐,28,"To hide, conceal, or keep something secret; to be hidden or invisible from view.","Common in words like 隐藏 (to hide), 隐私 (privacy), and 隐瞒 (to conceal information)",verb/adjective,隐,尖,胁,吻,丛,A
428,wu3,五,27,The number five. One of the most basic and frequently used numbers in Chinese.,"Used in counting, dates, times, and quantities like 五个人 (five people) or 星期五 (Friday)",number,夺,普,哼,覆,五,E
429,ren4,任,27,To appoint or assign someone to a position; to take on or assume a responsibility or duty. Also means 'any' or 'no matter' when used in certain compound words.,"Common in words like 任务 (task/mission), 责任 (responsibility), 任何 (any), and 担任 (to hold a post)",verb,推,幅,任,记,逛,C
430,chu4,处,27,A place or location; also means to get along with someone or to handle/deal with a situation.,"Common in words like 到处 (everywhere), 相处 (get along with), and 处理 (handle/deal with)",noun/verb,处,漂,院,拐,骷,A
431,ni1,妮,27,"A character meaning 'girl' or 'young woman', primarily used as a suffix in names or informal terms for girls.",Commonly seen in names like 妮妮 (Nini) or in the word 小妮子 (little girl),noun,供,钟,权,妮,箭,D
432,shi2,实,27,"Real, true, or solid; refers to something actual or concrete as opposed to empty or false.","Commonly seen in words like 现实 (reality), 实际 (actual), 老实 (honest), and 事实 (fact)",adjective,实,象,怕,刀,湖,A
433,ju4,巨,27,"Huge, enormous, or gigantic in size or scale. Used to describe something exceptionally large or significant.","Commonly appears in words like 巨大 (jùdà - huge), 巨人 (jùrén - giant), and 巨额 (jù'é - enormous sum)",adjective,巨,伙,吊,砰,二,A
434,wei1,微,27,"Means 'tiny', 'minute', or 'slight'; describes something extremely small or minimal in size, degree, or amount.","Common in words like 微笑 (smile), 微信 (WeChat), and 微小 (tiny)",adjective,总,咙,坦,微,芙,D
435,peng2,朋,27,"Friend or companion. This character is most commonly seen in the word 朋友 (péngyou), meaning 'friend'.",Rarely used alone in modern Chinese; almost always appears in compound words like 朋友 (friend),noun,朋,度,官,何,补,A
436,yi3,椅,27,Chair or seat. Most commonly used in the compound word 椅子 (yǐzi) meaning chair.,Almost always appears as 椅子 rather than alone,noun,活,椅,怔,阻,永,B
437,xiao1,消,27,"To disappear, vanish, or eliminate; to reduce or dispel something.","Commonly used in words like 消息 (news), 取消 (cancel), 消费 (consume), and 消失 (disappear)",verb,参,伍,消,篇,扬,C
438,nan2,男,27,Male or man; refers to the masculine gender or a male person.,"Common in words like 男人 (man), 男孩 (boy), and 男女 (male and female)",noun/adjective,搅,迫,男,题,势,C
439,shui4,睡,27,To sleep or go to bed. This is the primary verb used to express sleeping in Mandarin Chinese.,Commonly used in phrases like 睡觉 (shuì jiào - to sleep) and 睡着 (shuì zháo - to fall asleep),verb,且,唇,睡,柠,堡,C
440,chuang1,窗,27,"Window; an opening in a wall or vehicle that lets in light and air, typically fitted with glass.",Commonly used in words like 窗户 (chuānghu - window) and 窗口 (chuāngkǒu - window/counter),noun,窗,疤,汪,基,咯,A
441,fan4,饭,27,Cooked rice; a meal or food in general. This is one of the most essential food-related words in Chinese.,"Used in common phrases like 吃饭 (eat a meal), 早饭 (breakfast), 午饭 (lunch), 晚饭 (dinner)",noun,漠,原,庞,饭,忧,D
442,yu2,于,26,"A preposition meaning 'in', 'at', 'to', or 'from' that indicates location, time, or direction. It is commonly used in formal or written Chinese to show relationships between actions and places/times.","Often appears in phrases like 位于 (to be located at), 关于 (about/regarding), 由于 (due to)",preposition,晨,于,憾,备,狮,B
443,reng2,仍,26,"Still, yet; indicates that a situation or action continues unchanged from before","Commonly used in phrases like 仍然 (still, yet) and 仍旧 (still, as before)",adverb,探,瞒,考,换,仍,E
444,xiu1,休,26,"To rest, take a break, or have time off from work or activities. Also means to stop or cease doing something.","Common in words like 休息 (rest), 休假 (take a vacation), and 退休 (retire)",verb,迎,休,桶,米,抱,B
445,he2,何,26,"Question word meaning 'what', 'why', or 'how'; used in formal or literary contexts to ask questions.","Common in phrases like 为何 (why), 如何 (how), and 何时 (when). More formal than 什么.",question word/pronoun,狐,何,客,值,肌,B
446,ji2,及,26,"Means 'and', 'as well as', or 'to reach/attain'. Used to connect nouns or phrases in formal or written Chinese, similar to 'and' but more literary than 和.",Common in formal contexts like 老师及学生 (teachers and students) or in the word 以及 (as well as),conjunction/verb,哧,苗,缝,及,睬,D
