Order Number,Item,Pinyin,Frequency,Choice_Tone1,Choice_Tone2,Choice_Tone3,Choice_Tone4,Choice_Neutral,Correct_Answer
415,塞,sai1,28,sai1,sai2,sai3,sai4,sai,sai1
416,墙,qiang2,28,qiang1,qiang2,qiang3,qiang4,qiang,qiang2
417,姆,mu3,28,mu1,mu2,mu3,mu4,mu,mu3
418,始,shi3,28,shi1,shi2,shi3,shi4,shi,shi3
419,尼,ni2,28,ni1,ni2,ni3,ni4,ni,ni2
420,工,gong1,28,gong1,gong2,gong3,gong4,gong,gong1
421,强,qiang2,28,qiang1,qiang2,qiang3,qiang4,qiang,qiang2
422,总,zong3,28,zong1,zong2,zong3,zong4,zong,zong3
423,月,yue4,28,yue1,yue2,yue3,yue4,yue,yue4
424,烦,fan2,28,fan1,fan2,fan3,fan4,fan,fan2
425,皮,pi2,28,pi1,pi2,pi3,pi4,pi,pi2
426,部,bu4,28,bu1,bu2,bu3,bu4,bu,bu4
427,隐,yin3,28,yin1,yin2,yin3,yin4,yin,yin3
428,五,wu3,27,wu1,wu2,wu3,wu4,wu,wu3
429,任,ren4,27,ren1,ren2,ren3,ren4,ren,ren4
430,处,chu4,27,chu1,chu2,chu3,chu4,chu,chu4
431,妮,ni1,27,ni1,ni2,ni3,ni4,ni,ni1
432,实,shi2,27,shi1,shi2,shi3,shi4,shi,shi2
433,巨,ju4,27,ju1,ju2,ju3,ju4,ju,ju4
434,微,wei1,27,wei1,wei2,wei3,wei4,wei,wei1
435,朋,peng2,27,peng1,peng2,peng3,peng4,peng,peng2
436,椅,yi3,27,yi1,yi2,yi3,yi4,yi,yi3
437,消,xiao1,27,xiao1,xiao2,xiao3,xiao4,xiao,xiao1
438,男,nan2,27,nan1,nan2,nan3,nan4,nan,nan2
439,睡,shui4,27,shui1,shui2,shui3,shui4,shui,shui4
440,窗,chuang1,27,chuang1,chuang2,chuang3,chuang4,chuang,chuang1
441,饭,fan4,27,fan1,fan2,fan3,fan4,fan,fan4
442,于,yu2,26,yu1,yu2,yu3,yu4,yu,yu2
443,仍,reng2,26,reng1,reng2,reng3,reng4,reng,reng2
444,休,xiu1,26,xiu1,xiu2,xiu3,xiu4,xiu,xiu1
445,何,he2,26,he1,he2,he3,he4,he,he2
446,及,ji2,26,ji1,ji2,ji3,ji4,ji,ji2
447,周,zhou1,26,zhou1,zhou2,zhou3,zhou4,zhou,zhou1
448,密,mi4,26,mi1,mi2,mi3,mi4,mi,mi4
449,将,jiang1,26,jiang1,jiang2,jiang3,jiang4,jiang,jiang1
450,影,ying3,26,ying1,ying2,ying3,ying4,ying,ying3
451,止,zhi3,26,zhi1,zhi2,zhi3,zhi4,zhi,zhi3
452,穆,mu4,26,mu1,mu2,mu3,mu4,mu,mu4
453,翼,yi4,26,yi1,yi2,yi3,yi4,yi,yi4
454,腿,tui3,26,tui1,tui2,tui3,tui4,tui,tui3
455,英,ying1,26,ying1,ying2,ying3,ying4,ying,ying1
456,血,xue4,26,xue1,xue2,xue3,xue4,xue,xue4
457,角,jiao3,26,jiao1,jiao2,jiao3,jiao4,jiao,jiao3
458,赶,gan3,26,gan1,gan2,gan3,gan4,gan,gan3
459,队,dui4,26,dui1,dui2,dui3,dui4,dui,dui4
460,主,zhu3,25,zhu1,zhu2,zhu3,zhu4,zhu,zhu3
461,卢,lu2,25,lu1,lu2,lu3,lu4,lu,lu2
462,受,shou4,25,shou1,shou2,shou3,shou4,shou,shou4
463,堆,dui1,25,dui1,dui2,dui3,dui4,dui,dui1
464,孩,hai2,25,hai1,hai2,hai3,hai4,hai,hai2
465,安,an1,25,an1,an2,an3,an4,an,an1
466,帮,bang1,25,bang1,bang2,bang3,bang4,bang,bang1
467,摇,yao2,25,yao1,yao2,yao3,yao4,yao,yao2
468,活,huo2,25,huo1,huo2,huo3,huo4,huo,huo2
469,班,ban1,25,ban1,ban2,ban3,ban4,ban,ban1
470,行,xing2,25,xing1,xing2,xing3,xing4,xing,xing2
471,镜,jing4,25,jing1,jing2,jing3,jing4,jing,jing4
472,养,yang3,24,yang1,yang2,yang3,yang4,yang,yang3
473,厅,ting1,24,ting1,ting2,ting3,ting4,ting,ting1
474,命,ming4,24,ming1,ming2,ming3,ming4,ming,ming4
475,咒,zhou4,24,zhou1,zhou2,zhou3,zhou4,zhou,zhou4
476,围,wei2,24,wei1,wei2,wei3,wei4,wei,wei2
477,差,cha4,24,cha1,cha2,cha3,cha4,cha,cha4
478,弄,nong4,24,nong1,nong2,nong3,nong4,nong,nong4
479,必,bi4,24,bi1,bi2,bi3,bi4,bi,bi4
480,恶,e4,24,e1,e2,e3,e4,e,e4
481,毛,mao2,24,mao1,mao2,mao3,mao4,mao,mao2
482,界,jie4,24,jie1,jie2,jie3,jie4,jie,jie4
483,箱,xiang1,24,xiang1,xiang2,xiang3,xiang4,xiang,xiang1
484,雷,lei2,24,lei1,lei2,lei3,lei4,lei,lei2
485,颤,chan4,24,chan1,chan2,chan3,chan4,chan,chan4
486,麦,mai4,24,mai1,mai2,mai3,mai4,mai,mai4
487,乔,qiao2,23,qiao1,qiao2,qiao3,qiao4,qiao,qiao2
488,写,xie3,23,xie1,xie2,xie3,xie4,xie,xie3
489,包,bao1,23,bao1,bao2,bao3,bao4,bao,bao1
490,卡,ka3,23,ka1,ka2,ka3,ka4,ka,ka3
491,参,can1,23,can1,can2,can3,can4,can,can1
492,图,tu2,23,tu1,tu2,tu3,tu4,tu,tu2
493,急,ji2,23,ji1,ji2,ji3,ji4,ji,ji2
494,波,bo1,23,bo1,bo2,bo3,bo4,bo,bo1
495,洛,luo4,23,luo1,luo2,luo3,luo4,luo,luo4
496,留,liu2,23,liu1,liu2,liu3,liu4,liu,liu2
497,识,shi2,23,shi1,shi2,shi3,shi4,shi,shi2
498,魂,hun2,23,hun1,hun2,hun3,hun4,hun,hun2
499,乱,luan4,22,luan1,luan2,luan3,luan4,luan,luan4
500,今,jin1,22,jin1,jin2,jin3,jin4,jin,jin1
501,吓,xia4,22,xia1,xia2,xia3,xia4,xia,xia4
502,塔,ta3,22,ta1,ta2,ta3,ta4,ta,ta3
503,封,feng1,22,feng1,feng2,feng3,feng4,feng,feng1
504,怀,huai2,22,huai1,huai2,huai3,huai4,huai,huai2
505,文,wen2,22,wen1,wen2,wen3,wen4,wen,wen2
506,日,ri4,22,ri1,ri2,ri3,ri4,ri,ri4
507,治,zhi4,22,zhi1,zhi2,zhi3,zhi4,zhi,zhi4
508,粗,cu1,22,cu1,cu2,cu3,cu4,cu,cu1
509,细,xi4,22,xi1,xi2,xi3,xi4,xi,xi4
510,语,yu3,22,yu1,yu2,yu3,yu4,yu,yu3
511,越,yue4,22,yue1,yue2,yue3,yue4,yue,yue4
512,跑,pao3,22,pao1,pao2,pao3,pao4,pao,pao3
513,须,xu1,22,xu1,xu2,xu3,xu4,xu,xu1
514,题,ti2,22,ti1,ti2,ti3,ti4,ti,ti2
515,伸,shen1,21,shen1,shen2,shen3,shen4,shen,shen1
516,体,ti3,21,ti1,ti2,ti3,ti4,ti,ti3
517,兽,shou4,21,shou1,shou2,shou3,shou4,shou,shou4
518,准,zhun3,21,zhun1,zhun2,zhun3,zhun4,zhun,zhun3
519,合,he2,21,he1,he2,he3,he4,he,he2
520,夜,ye4,21,ye1,ye2,ye3,ye4,ye,ye4
521,廊,lang2,21,lang1,lang2,lang3,lang4,lang,lang2
522,杀,sha1,21,sha1,sha2,sha3,sha4,sha,sha1
523,概,gai4,21,gai1,gai2,gai3,gai4,gai,gai4
524,母,mu3,21,mu1,mu2,mu3,mu4,mu,mu3
525,水,shui3,21,shui1,shui2,shui3,shui4,shui,shui3
526,纸,zhi3,21,zhi1,zhi2,zhi3,zhi4,zhi,zhi3
527,跳,tiao4,21,tiao1,tiao2,tiao3,tiao4,tiao,tiao4
528,遍,bian4,21,bian1,bian2,bian3,bian4,bian,bian4
529,与,yu3,20,yu1,yu2,yu3,yu4,yu,yu3
530,买,mai3,20,mai1,mai2,mai3,mai4,mai,mai3
531,争,zheng1,20,zheng1,zheng2,zheng3,zheng4,zheng,zheng1
532,仔,zai3,20,zai1,zai2,zai3,zai4,zai,zai3
533,假,jia3,20,jia1,jia2,jia3,jia4,jia,jia3
534,冲,chong1,20,chong1,chong2,chong3,chong4,chong,chong1
535,员,yuan2,20,yuan1,yuan2,yuan3,yuan4,yuan,yuan2
536,城,cheng2,20,cheng1,cheng2,cheng3,cheng4,cheng,cheng2
537,堡,bao3,20,bao1,bao2,bao3,bao4,bao,bao3
538,少,shao3,20,shao1,shao2,shao3,shao4,shao,shao3
539,尾,wei3,20,wei1,wei2,wei3,wei4,wei,wei3
540,挥,hui1,20,hui1,hui2,hui3,hui4,hui,hui1
541,摄,she4,20,she1,she2,she3,she4,she,she4
542,整,zheng3,20,zheng1,zheng2,zheng3,zheng4,zheng,zheng3
543,疑,yi2,20,yi1,yi2,yi3,yi4,yi,yi2
544,胳,ge1,20,ge1,ge2,ge3,ge4,ge,ge1
545,膊,bo2,20,bo1,bo2,bo3,bo4,bo,bo2
546,路,lu4,20,lu1,lu2,lu3,lu4,lu,lu4
547,躺,tang3,20,tang1,tang2,tang3,tang4,tang,tang3
548,量,liang4,20,liang1,liang2,liang3,liang4,liang,liang4
549,险,xian3,20,xian1,xian2,xian3,xian4,xian,xian3
550,严,yan2,19,yan1,yan2,yan3,yan4,yan,yan2
551,副,fu4,19,fu1,fu2,fu3,fu4,fu,fu4
552,危,wei1,19,wei1,wei2,wei3,wei4,wei,wei1
553,压,ya1,19,ya1,ya2,ya3,ya4,ya,ya1
554,够,gou4,19,gou1,gou2,gou3,gou4,gou,gou4
555,屋,wu1,19,wu1,wu2,wu3,wu4,wu,wu1
556,慢,man4,19,man1,man2,man3,man4,man,man4
557,扇,shan4,19,shan1,shan2,shan3,shan4,shan,shan4
558,护,hu4,19,hu1,hu2,hu3,hu4,hu,hu4
559,狗,gou3,19,gou1,gou2,gou3,gou4,gou,gou3
560,疤,ba1,19,ba1,ba2,ba3,ba4,ba,ba1
561,矮,ai3,19,ai1,ai2,ai3,ai4,ai,ai3
562,篷,peng2,19,peng1,peng2,peng3,peng4,peng,peng2
563,连,lian2,19,lian1,lian2,lian3,lian4,lian,lian2
564,俩,lia3,18,lia1,lia2,lia3,lia4,lia,lia3
565,决,jue2,18,jue1,jue2,jue3,jue4,jue,jue2
566,刺,ci4,18,ci1,ci2,ci3,ci4,ci,ci4
567,单,dan1,18,dan1,dan2,dan3,dan4,dan,dan1
568,威,wei1,18,wei1,wei2,wei3,wei4,wei,wei1
569,娘,niang2,18,niang1,niang2,niang3,niang4,niang,niang2
570,容,rong2,18,rong1,rong2,rong3,rong4,rong,rong2
571,帕,pa4,18,pa1,pa2,pa3,pa4,pa,pa4
572,戴,dai4,18,dai1,dai2,dai3,dai4,dai,dai4
573,楚,chu3,18,chu1,chu2,chu3,chu4,chu,chu3
574,睁,zheng1,18,zheng1,zheng2,zheng3,zheng4,zheng,zheng1
575,秘,mi4,18,mi1,mi2,mi3,mi4,mi,mi4
576,绝,jue2,18,jue1,jue2,jue3,jue4,jue,jue2
577,群,qun2,18,qun1,qun2,qun3,qun4,qun,qun2
578,蛇,she2,18,she1,she2,she3,she4,she,she2
579,达,da2,18,da1,da2,da3,da4,da,da2
580,送,song4,18,song1,song2,song3,song4,song,song4
581,项,xiang4,18,xiang1,xiang2,xiang3,xiang4,xiang,xiang4
582,佩,pei4,17,pei1,pei2,pei3,pei4,pei,pei4
583,原,yuan2,17,yuan1,yuan2,yuan3,yuan4,yuan,yuan2
584,哑,ya3,17,ya1,ya2,ya3,ya4,ya,ya3
585,坏,huai4,17,huai1,huai2,huai3,huai4,huai,huai4
586,座,zuo4,17,zuo1,zuo2,zuo3,zuo4,zuo,zuo4
587,持,chi2,17,chi1,chi2,chi3,chi4,chi,chi2
588,朵,duo3,17,duo1,duo2,duo3,duo4,duo,duo3
589,松,song1,17,song1,song2,song3,song4,song,song1
590,激,ji1,17,ji1,ji2,ji3,ji4,ji,ji1
591,爱,ai4,17,ai1,ai2,ai3,ai4,ai,ai4
592,爸,ba4,17,ba1,ba2,ba3,ba4,ba,ba4
593,疯,feng1,17,feng1,feng2,feng3,feng4,feng,feng1
594,秒,miao3,17,miao1,miao2,miao3,miao4,miao,miao3
595,继,ji4,17,ji1,ji2,ji3,ji4,ji,ji4
596,耐,nai4,17,nai1,nai2,nai3,nai4,nai,nai4
597,药,yao4,17,yao1,yao2,yao3,yao4,yao,yao4
598,醒,xing3,17,xing1,xing2,xing3,xing4,xing,xing3
599,阿,a1,17,a1,a2,a3,a4,a,a1
600,除,chu2,17,chu1,chu2,chu3,chu4,chu,chu2
601,鲁,lu3,17,lu1,lu2,lu3,lu4,lu,lu3
602,傻,sha3,16,sha1,sha2,sha3,sha4,sha,sha3
603,冒,mao4,16,mao1,mao2,mao3,mao4,mao,mao4
604,吼,hou3,16,hou1,hou2,hou3,hou4,hou,hou3
605,喝,he1,16,he1,he2,he3,he4,he,he1
606,备,bei4,16,bei1,bei2,bei3,bei4,bei,bei4
607,愤,fen4,16,fen1,fen2,fen3,fen4,fen,fen4
608,挂,gua4,16,gua1,gua2,gua3,gua4,gua,gua4
609,摆,bai3,16,bai1,bai2,bai3,bai4,bai,bai3
610,摸,mo1,16,mo1,mo2,mo3,mo4,mo,mo1
611,服,fu2,16,fu1,fu2,fu3,fu4,fu,fu2
612,极,ji2,16,ji1,ji2,ji3,ji4,ji,ji2
613,石,shi2,16,shi1,shi2,shi3,shi4,shi,shi2
614,禁,jin4,16,jin1,jin2,jin3,jin4,jin,jin4
615,背,bei4,16,bei1,bei2,bei3,bei4,bei,bei4
616,错,cuo4,16,cuo1,cuo2,cuo3,cuo4,cuo,cuo4
617,露,lu4,16,lu1,lu2,lu3,lu4,lu,lu4
618,霸,ba4,16,ba1,ba2,ba3,ba4,ba,ba4
619,顿,dun4,16,dun1,dun2,dun3,dun4,dun,dun4
620,鼻,bi2,16,bi1,bi2,bi3,bi4,bi,bi2
621,份,fen4,15,fen1,fen2,fen3,fen4,fen,fen4
622,兄,xiong1,15,xiong1,xiong2,xiong3,xiong4,xiong,xiong1
623,午,wu3,15,wu1,wu2,wu3,wu4,wu,wu3
624,味,wei4,15,wei1,wei2,wei3,wei4,wei,wei4
625,弟,di4,15,di1,di2,di3,di4,di,di4
626,念,nian4,15,nian1,nian2,nian3,nian4,nian,nian4
627,戈,ge1,15,ge1,ge2,ge3,ge4,ge,ge1
628,拍,pai1,15,pai1,pai2,pai3,pai4,pai,pai1
629,换,huan4,15,huan1,huan2,huan3,huan4,huan,huan4
630,掏,tao1,15,tao1,tao2,tao3,tao4,tao,tao1
631,暗,an4,15,an1,an2,an3,an4,an,an4
632,柜,gui4,15,gui1,gui2,gui3,gui4,gui,gui4
633,猛,meng3,15,meng1,meng2,meng3,meng4,meng,meng3
634,珀,po4,15,po1,po2,po3,po4,po,po4
635,立,li4,15,li1,li2,li3,li4,li,li4
636,节,jie2,15,jie1,jie2,jie3,jie4,jie,jie2
637,装,zhuang1,15,zhuang1,zhuang2,zhuang3,zhuang4,zhuang,zhuang1
638,解,jie3,15,jie1,jie2,jie3,jie4,jie,jie3
639,隔,ge2,15,ge1,ge2,ge3,ge4,ge,ge2
640,乐,le4,14,le1,le2,le3,le4,le,le4
641,交,jiao1,14,jiao1,jiao2,jiao3,jiao4,jiao,jiao1
642,击,ji1,14,ji1,ji2,ji3,ji4,ji,ji1
643,勇,yong3,14,yong1,yong2,yong3,yong4,yong,yong3
644,却,que4,14,que1,que2,que3,que4,que,que4
645,厨,chu2,14,chu1,chu2,chu3,chu4,chu,chu2
646,古,gu3,14,gu1,gu2,gu3,gu4,gu,gu3
647,咬,yao3,14,yao1,yao2,yao3,yao4,yao,yao3
648,哝,nong2,14,nong1,nong2,nong3,nong4,nong,nong2
649,寻,xun2,14,xun1,xun2,xun3,xun4,xun,xun2
650,帽,mao4,14,mao1,mao2,mao3,mao4,mao,mao4
651,恼,nao3,14,nao1,nao2,nao3,nao4,nao,nao3
652,抱,bao4,14,bao1,bao2,bao3,bao4,bao,bao4
653,担,dan1,14,dan1,dan2,dan3,dan4,dan,dan1
654,挤,ji3,14,ji1,ji2,ji3,ji4,ji,ji3
655,掉,diao4,14,diao1,diao2,diao3,diao4,diao,diao4
656,摔,shuai1,14,shuai1,shuai2,shuai3,shuai4,shuai,shuai1
657,数,shu4,14,shu1,shu2,shu3,shu4,shu,shu4
658,敲,qiao1,14,qiao1,qiao2,qiao3,qiao4,qiao,qiao1
659,牙,ya2,14,ya1,ya2,ya3,ya4,ya,ya2
660,皱,zhou4,14,zhou1,zhou2,zhou3,zhou4,zhou,zhou4
661,笔,bi3,14,bi1,bi2,bi3,bi4,bi,bi3
662,系,xi4,14,xi1,xi2,xi3,xi4,xi,xi4
663,续,xu4,14,xu1,xu2,xu3,xu4,xu,xu4
664,胖,pang4,14,pang1,pang2,pang3,pang4,pang,pang4
665,膀,bang3,14,bang1,bang2,bang3,bang4,bang,bang3
666,草,cao3,14,cao1,cao2,cao3,cao4,cao,cao3
667,虫,chong2,14,chong1,chong2,chong3,chong4,chong,chong2
668,袍,pao2,14,pao1,pao2,pao3,pao4,pao,pao2
669,试,shi4,14,shi1,shi2,shi3,shi4,shi,shi4
670,趣,qu4,14,qu1,qu2,qu3,qu4,qu,qu4
671,顾,gu4,14,gu1,gu2,gu3,gu4,gu,gu4
672,兹,zi1,13,zi1,zi2,zi3,zi4,zi,zi1
673,制,zhi4,13,zhi1,zhi2,zhi3,zhi4,zhi,zhi4
674,助,zhu4,13,zhu1,zhu2,zhu3,zhu4,zhu,zhu4
675,客,ke4,13,ke1,ke2,ke3,ke4,ke,ke4
676,尺,chi3,13,chi1,chi2,chi3,chi4,chi,chi3
677,尽,jin3,13,jin1,jin2,jin3,jin4,jin,jin3
678,庭,ting2,13,ting1,ting2,ting3,ting4,ting,ting2
679,忍,ren3,13,ren1,ren2,ren3,ren4,ren,ren3
680,忘,wang4,13,wang1,wang2,wang3,wang4,wang,wang4
681,悄,qiao1,13,qiao1,qiao2,qiao3,qiao4,qiao,qiao1
682,扑,pu1,13,pu1,pu2,pu3,pu4,pu,pu1
683,扭,niu3,13,niu1,niu2,niu3,niu4,niu,niu3
684,投,tou2,13,tou1,tou2,tou3,tou4,tou,tou2
685,捂,wu3,13,wu1,wu2,wu3,wu4,wu,wu3
686,支,zhi1,13,zhi1,zhi2,zhi3,zhi4,zhi,zhi1
687,故,gu4,13,gu1,gu2,gu3,gu4,gu,gu4
688,斗,dou4,13,dou1,dou2,dou3,dou4,dou,dou4
689,木,mu4,13,mu1,mu2,mu3,mu4,mu,mu4
690,未,wei4,13,wei1,wei2,wei3,wei4,wei,wei4
691,由,you2,13,you1,you2,you3,you4,you,you2
692,碰,peng4,13,peng1,peng2,peng3,peng4,peng,peng4
693,答,da2,13,da1,da2,da3,da4,da,da2
694,算,suan4,13,suan1,suan2,suan3,suan4,suan,suan4
695,糊,hu2,13,hu1,hu2,hu3,hu4,hu,hu2
696,糕,gao1,13,gao1,gao2,gao3,gao4,gao,gao1
697,糟,zao1,13,zao1,zao2,zao3,zao4,zao,zao1
698,缝,feng4,13,feng1,feng2,feng3,feng4,feng,feng4
699,置,zhi4,13,zhi1,zhi2,zhi3,zhi4,zhi,zhi4
700,翻,fan1,13,fan1,fan2,fan3,fan4,fan,fan1
701,肩,jian1,13,jian1,jian2,jian3,jian4,jian,jian1
702,费,fei4,13,fei1,fei2,fei3,fei4,fei,fei4
703,迟,chi2,13,chi1,chi2,chi3,chi4,chi,chi2
704,丝,si1,12,si1,si2,si3,si4,si,si1
705,便,bian4,12,bian1,bian2,bian3,bian4,bian,bian4
706,剧,ju4,12,ju1,ju2,ju3,ju4,ju,ju4
707,匆,cong1,12,cong1,cong2,cong3,cong4,cong,cong1
708,呆,dai1,12,dai1,dai2,dai3,dai4,dai,dai1
709,咧,lie3,12,lie1,lie2,lie3,lie4,lie,lie3
710,国,guo2,12,guo1,guo2,guo3,guo4,guo,guo2
711,圣,sheng4,12,sheng1,sheng2,sheng3,sheng4,sheng,sheng4
712,复,fu4,12,fu1,fu2,fu3,fu4,fu,fu4
713,妖,yao1,12,yao1,yao2,yao3,yao4,yao,yao1
714,寸,cun4,12,cun1,cun2,cun3,cun4,cun,cun4
715,店,dian4,12,dian1,dian2,dian3,dian4,dian,dian4
716,忙,mang2,12,mang1,mang2,mang3,mang4,mang,mang2
717,扶,fu2,12,fu1,fu2,fu3,fu4,fu,fu2
718,撞,zhuang4,12,zhuang1,zhuang2,zhuang3,zhuang4,zhuang,zhuang4
719,照,zhao4,12,zhao1,zhao2,zhao3,zhao4,zhao,zhao4
720,疼,teng2,12,teng1,teng2,teng3,teng4,teng,teng2
721,眉,mei2,12,mei1,mei2,mei3,mei4,mei,mei2
722,纳,na4,12,na1,na2,na3,na4,na,na4
723,终,zhong1,12,zhong1,zhong2,zhong3,zhong4,zhong,zhong1
724,结,jie2,12,jie1,jie2,jie3,jie4,jie,jie2
725,羊,yang2,12,yang1,yang2,yang3,yang4,yang,yang2
726,羽,yu3,12,yu1,yu2,yu3,yu4,yu,yu3
727,股,gu3,12,gu1,gu2,gu3,gu4,gu,gu3
728,薇,wei1,12,wei1,wei2,wei3,wei4,wei,wei1
729,赢,ying2,12,ying1,ying2,ying3,ying4,ying,ying2
730,银,yin2,12,yin1,yin2,yin3,yin4,yin,yin2
731,阴,yin1,12,yin1,yin2,yin3,yin4,yin,yin1
732,随,sui2,12,sui1,sui2,sui3,sui4,sui,sui2
733,额,e2,12,e1,e2,e3,e4,e,e2
734,龙,long2,12,long1,long2,long3,long4,long,long2
735,仿,fang3,11,fang1,fang2,fang3,fang4,fang,fang3
736,佛,fu2,11,fu1,fu2,fu3,fu4,fu,fu2
737,厌,yan4,11,yan1,yan2,yan3,yan4,yan,yan4
738,吉,ji2,11,ji1,ji2,ji3,ji4,ji,ji2
739,呀,ya,11,ya1,ya2,ya3,ya4,ya,ya
740,品,pin3,11,pin1,pin2,pin3,pin4,pin,pin3
741,哭,ku1,11,ku1,ku2,ku3,ku4,ku,ku1
742,坚,jian1,11,jian1,jian2,jian3,jian4,jian,jian1
743,奋,fen4,11,fen1,fen2,fen3,fen4,fen,fen4
744,姑,gu1,11,gu1,gu2,gu3,gu4,gu,gu1
745,孪,luan2,11,luan1,luan2,luan3,luan4,luan,luan2
746,宿,su4,11,su1,su2,su3,su4,su,su4
747,岁,sui4,11,sui1,sui2,sui3,sui4,sui,sui4
748,帐,zhang4,11,zhang1,zhang2,zhang3,zhang4,zhang,zhang4
749,怒,nu4,11,nu1,nu2,nu3,nu4,nu,nu4
750,愉,yu2,11,yu1,yu2,yu3,yu4,yu,yu2
751,户,hu4,11,hu1,hu2,hu3,hu4,hu,hu4
752,报,bao4,11,bao1,bao2,bao3,bao4,bao,bao4
753,拼,pin1,11,pin1,pin2,pin3,pin4,pin,pin1
754,搞,gao3,11,gao1,gao2,gao3,gao4,gao,gao3
755,斑,ban1,11,ban1,ban2,ban3,ban4,ban,ban1
756,施,shi1,11,shi1,shi2,shi3,shi4,shi,shi1
757,标,biao1,11,biao1,biao2,biao3,biao4,biao,biao1
758,洞,dong4,11,dong1,dong2,dong3,dong4,dong,dong4
759,浑,hun2,11,hun1,hun2,hun3,hun4,hun,hun2
760,混,hun4,11,hun1,hun2,hun3,hun4,hun,hun4
761,滥,lan4,11,lan1,lan2,lan3,lan4,lan,lan4
762,漆,qi1,11,qi1,qi2,qi3,qi4,qi,qi1
763,烈,lie4,11,lie1,lie2,lie3,lie4,lie,lie4
764,盖,gai4,11,gai1,gai2,gai3,gai4,gai,gai4
765,眯,mi1,11,mi1,mi2,mi3,mi4,mi,mi1
766,笼,long2,11,long1,long2,long3,long4,long,long2
767,索,suo3,11,suo1,suo2,suo3,suo4,suo,suo3
768,绿,lv4,11,lv1,lv2,lv3,lv4,lv,lv4
769,舍,she3,11,she1,she2,she3,she4,she,she3
770,舞,wu3,11,wu1,wu2,wu3,wu4,wu,wu3
771,莫,mo4,11,mo1,mo2,mo3,mo4,mo,mo4
772,警,jing3,11,jing1,jing2,jing3,jing4,jing,jing3
773,逃,tao2,11,tao1,tao2,tao3,tao4,tao,tao2
774,钻,zuan1,11,zuan1,zuan2,zuan3,zuan4,zuan,zuan1
775,顺,shun4,11,shun1,shun2,shun3,shun4,shun,shun4
776,食,shi2,11,shi1,shi2,shi3,shi4,shi,shi2
777,黄,huang2,11,huang1,huang2,huang3,huang4,huang,huang2
778,默,mo4,11,mo1,mo2,mo3,mo4,mo,mo4
779,六,liu4,10,liu1,liu2,liu3,liu4,liu,liu4
780,冰,bing1,10,bing1,bing2,bing3,bing4,bing,bing1
781,况,kuang4,10,kuang1,kuang2,kuang3,kuang4,kuang,kuang4
782,劲,jin4,10,jin1,jin2,jin3,jin4,jin,jin4
783,医,yi1,10,yi1,yi2,yi3,yi4,yi,yi1
784,升,sheng1,10,sheng1,sheng2,sheng3,sheng4,sheng,sheng1
785,取,qu3,10,qu1,qu2,qu3,qu4,qu,qu3
786,右,you4,10,you1,you2,you3,you4,you,you4
787,各,ge4,10,ge1,ge2,ge3,ge4,ge,ge4
788,嘟,du1,10,du1,du2,du3,du4,du,du1
789,嘶,si1,10,si1,si2,si3,si4,si,si1
790,壁,bi4,10,bi1,bi2,bi3,bi4,bi,bi4
791,守,shou3,10,shou1,shou2,shou3,shou4,shou,shou3
792,恐,kong3,10,kong1,kong2,kong3,kong4,kong,kong3
793,束,shu4,10,shu1,shu2,shu3,shu4,shu,shu4
794,查,cha2,10,cha1,cha2,cha3,cha4,cha,cha2
795,桃,tao2,10,tao1,tao2,tao3,tao4,tao,tao2
796,模,mo2,10,mo1,mo2,mo3,mo4,mo,mo2
797,此,ci3,10,ci1,ci2,ci3,ci4,ci,ci3
798,毫,hao2,10,hao1,hao2,hao3,hao4,hao,hao2
799,涨,zhang3,10,zhang1,zhang2,zhang3,zhang4,zhang,zhang3
800,游,you2,10,you1,you2,you3,you4,you,you2
801,炸,zha4,10,zha1,zha2,zha3,zha4,zha,zha4
802,猜,cai1,10,cai1,cai2,cai3,cai4,cai,cai1
803,病,bing4,10,bing1,bing2,bing3,bing4,bing,bing4
804,破,po4,10,po1,po2,po3,po4,po,po4
805,移,yi2,10,yi1,yi2,yi3,yi4,yi,yi2
806,签,qian1,10,qian1,qian2,qian3,qian4,qian,qian1
807,纪,ji4,10,ji1,ji2,ji3,ji4,ji,ji4
808,胡,hu2,10,hu1,hu2,hu3,hu4,hu,hu2
809,蛋,dan4,10,dan1,dan2,dan3,dan4,dan,dan4
810,街,jie1,10,jie1,jie2,jie3,jie4,jie,jie1
811,讲,jiang3,10,jiang1,jiang2,jiang3,jiang4,jiang,jiang3
812,证,zheng4,10,zheng1,zheng2,zheng3,zheng4,zheng,zheng4
813,请,qing3,10,qing1,qing2,qing3,qing4,qing,qing3
814,谈,tan2,10,tan1,tan2,tan3,tan4,tan,tan2
815,辆,liang4,10,liang1,liang2,liang3,liang4,liang,liang4
816,迷,mi2,10,mi1,mi2,mi3,mi4,mi,mi2
817,透,tou4,10,tou1,tou2,tou3,tou4,tou,tou4
818,酒,jiu3,10,jiu1,jiu2,jiu3,jiu4,jiu,jiu3
819,靠,kao4,10,kao1,kao2,kao3,kao4,kao,kao4
820,餐,can1,10,can1,can2,can3,can4,can,can1
821,鼠,shu3,10,shu1,shu2,shu3,shu4,shu,shu3
822,业,ye4,9,ye1,ye2,ye3,ye4,ye,ye4
823,博,bo2,9,bo1,bo2,bo3,bo4,bo,bo2
824,厢,xiang1,9,xiang1,xiang2,xiang3,xiang4,xiang,xiang1
825,唯,wei2,9,wei1,wei2,wei3,wei4,wei,wei2
